State_ID,State_Name,GeoLocation,P_ID,D_ID,Weather_ID
600174,Guam,"(13.444304, 144.793731)",274,150174,300174
600175,Iowa,"(42.46940091300047, -93.81649055599968)",275,150175,300175
600176,Arizona,"(34.865970280000454, -111.76381127699972)",276,150176,300176
600177,Montana,"(47.06652897200047, -109.42442064499971)",277,150177,300177
600178,Idaho,"(43.682630005000476, -114.3637300419997)",278,150178,300178
600179,Minnesota,"(46.35564873600049, -94.79420050299967)",279,150179,300179
600180,New Mexico,"(34.52088095200048, -106.24058098499967)",280,150180,300180
600181,District of Columbia,"(38.89037138500049, -77.03196112699965)",281,150181,300181
600182,Wisconsin,"(44.39319117400049, -89.81637074199966)",282,150182,300182
600183,South Dakota,"(44.353130053000484, -100.3735306369997)",283,150183,300183
600184,Indiana,"(39.766910452000445, -86.14996019399968)",284,150184,300184
600185,Tennessee,"(35.68094058000048, -85.77449091399967)",285,150185,300185
600186,Texas,"(31.827240407000488, -99.42677020599967)",286,150186,300186
600187,Wisconsin,"(44.39319117400049, -89.81637074199966)",287,150187,300187
600188,Delaware,"(39.008830667, -75.577741168)",288,150188,300188
600189,Texas,"(31.827240407000488, -99.42677020599967)",289,150189,300189
600190,Colorado,"(38.843840757000464, -106.13361092099967)",290,150190,300190
600191,Indiana,"(39.766910452000445, -86.14996019399968)",291,150191,300191
600192,Hawaii,"(21.304850435000446, -157.85774940299973)",292,150192,300192
600193,Alabama,"(32.84057112200048, -86.63186076199969)",293,150193,300193
600194,Mississippi,"(32.745510099000455, -89.53803082499968)",294,150194,300194
600195,Oklahoma,"(35.47203135600046, -97.52107021399968)",295,150195,300195
600196,West Virginia,"(38.66551020200046, -80.71264013499967)",296,150196,300196
600197,Florida,"(28.932040377000476, -81.92896053899966)",297,150197,300197
600198,Kentucky,"(37.645970271000465, -84.77497104799966)",298,150198,300198
600199,Kansas,"(38.34774030000045, -98.20078122699965)",299,150199,300199
600200,Arizona,"(34.865970280000454, -111.76381127699972)",300,150200,300200
600201,Maryland,"(39.29058096400047, -76.60926011099963)",301,150201,300201
600202,New Mexico,"(34.52088095200048, -106.24058098499967)",302,150202,300202
600203,Michigan,"(44.6613195430005, -84.71439026999968)",303,150203,300203
600204,Arkansas,"(34.74865012400045, -92.27449074299966)",304,150204,300204
600205,Oregon,"(44.56744942400047, -120.15503132599969)",305,150205,300205
600206,District of Columbia,"(38.89037138500049, -77.03196112699965)",306,150206,300206
600207,Connecticut,"(41.56266102, -72.649840952)",307,150207,300207
600208,Washington,"(47.522278629, -120.47001079)",308,150208,300208
600209,Alaska,"(64.845079957001, -147.722059036)",309,150209,300209
600210,West Virginia,"(38.665510202, -80.712640135)",310,150210,300210
600211,Ohio,"(40.060210141, -82.404260056)",311,150211,300211
600212,Missouri,"(38.635790776, -92.566300053)",312,150212,300212
600213,Colorado,"(38.843840757000464, -106.13361092099967)",313,150213,300213
600214,Maine,"(45.254228894000505, -68.98503133599962)",314,150214,300214
600215,Mississippi,"(32.745510099000455, -89.53803082499968)",315,150215,300215
600216,Guam,"(13.444304, 144.793731)",316,150216,300216
600217,Guam,"(13.444304, 144.793731)",317,150217,300217
600218,Minnesota,"(46.35564873600049, -94.79420050299967)",318,150218,300218
600219,West Virginia,"(38.66551020200046, -80.71264013499967)",319,150219,300219
600220,Idaho,"(43.682630005000476, -114.3637300419997)",320,150220,300220
600221,Delaware,"(39.008830667000495, -75.57774116799965)",321,150221,300221
600222,Guam,"(13.444304, 144.793731)",322,150222,300222
600223,Delaware,"(39.008830667000495, -75.57774116799965)",323,150223,300223
600224,Iowa,"(42.46940091300047, -93.81649055599968)",324,150224,300224
600225,Idaho,"(43.682630005000476, -114.3637300419997)",325,150225,300225
600226,Connecticut,"(41.56266102000046, -72.64984095199964)",326,150226,300226
600227,South Carolina,"(33.998821303000454, -81.04537120699968)",327,150227,300227
600228,Guam,"(13.444304, 144.793731)",328,150228,300228
600229,Massachusetts,"(42.27687047000046, -72.08269067499964)",329,150229,300229
600230,Washington,"(47.52227862900048, -120.47001078999972)",330,150230,300230
600231,Kentucky,"(37.645970271000465, -84.77497104799966)",331,150231,300231
600232,Vermont,"(43.62538123900049, -72.51764079099962)",332,150232,300232
600233,Nevada,"(39.493240390000494, -117.07184056399967)",333,150233,300233
600234,Hawaii,"(21.304850435000446, -157.85774940299973)",334,150234,300234
600235,Wyoming,"(43.23554134300048, -108.10983035299967)",335,150235,300235
600236,Tennessee,"(35.68094058000048, -85.77449091399967)",336,150236,300236
600237,California,"(37.638640123, -120.999999538)",337,150237,300237
600238,Texas,"(31.827240407000488, -99.42677020599967)",338,150238,300238
600239,Massachusetts,"(42.27687047000046, -72.08269067499964)",339,150239,300239
600240,Washington,"(47.52227862900048, -120.47001078999972)",340,150240,300240
600241,Wyoming,"(43.23554134300048, -108.10983035299967)",341,150241,300241
600242,Connecticut,"(41.56266102000046, -72.64984095199964)",342,150242,300242
600243,Montana,"(47.06652897200047, -109.42442064499971)",343,150243,300243
600244,Arkansas,"(34.74865012400045, -92.27449074299966)",344,150244,300244
600245,Idaho,"(43.682630005000476, -114.3637300419997)",345,150245,300245
600246,Utah,"(39.360700171000474, -111.58713063499971)",346,150246,300246
600247,Puerto Rico,"(18.220833, -66.590149)",347,150247,300247
600248,Indiana,"(39.766910452000445, -86.14996019399968)",348,150248,300248
600249,Kansas,"(38.34774030000045, -98.20078122699965)",349,150249,300249
600250,Arizona,"(34.865970280000454, -111.76381127699972)",350,150250,300250
600251,Minnesota,"(46.35564873600049, -94.79420050299967)",351,150251,300251
600252,Nebraska,"(41.6410409880005, -99.36572062299967)",352,150252,300252
600253,Massachusetts,"(42.27687047000046, -72.08269067499964)",353,150253,300253
600254,West Virginia,"(38.66551020200046, -80.71264013499967)",354,150254,300254
600255,Indiana,"(39.766910452000445, -86.14996019399968)",355,150255,300255
600256,Iowa,"(42.46940091300047, -93.81649055599968)",356,150256,300256
600257,South Dakota,"(44.353130053000484, -100.3735306369997)",357,150257,300257
600258,Montana,"(47.06652897200047, -109.42442064499971)",358,150258,300258
600259,Hawaii,"(21.304850435000446, -157.85774940299973)",359,150259,300259
600260,North Carolina,"(35.466220975000454, -79.15925046299964)",360,150260,300260
600261,New Mexico,"(34.52088095200048, -106.24058098499967)",361,150261,300261
600262,Vermont,"(43.62538123900049, -72.51764079099962)",362,150262,300262
600263,Alaska,"(64.84507995700051, -147.72205903599973)",363,150263,300263
600264,Alaska,"(64.84507995700051, -147.72205903599973)",364,150264,300264
600265,District of Columbia,"(38.89037138500049, -77.03196112699965)",365,150265,300265
600266,Vermont,"(43.62538123900049, -72.51764079099962)",366,150266,300266
600267,Connecticut,"(41.56266102000046, -72.64984095199964)",367,150267,300267
600268,New Mexico,"(34.52088095200048, -106.24058098499967)",368,150268,300268
600269,Minnesota,"(46.35564873600049, -94.79420050299967)",369,150269,300269
600270,Tennessee,"(35.68094058000048, -85.77449091399967)",370,150270,300270
600271,Michigan,"(44.6613195430005, -84.71439026999968)",371,150271,300271
600272,New Jersey,"(40.13057004800049, -74.27369128799967)",372,150272,300272
600273,South Carolina,"(33.998821303000454, -81.04537120699968)",373,150273,300273
600274,Delaware,"(39.008830667000495, -75.57774116799965)",374,150274,300274
600275,South Dakota,"(44.353130053000484, -100.3735306369997)",375,150275,300275
600276,Oregon,"(44.56744942400047, -120.15503132599969)",376,150276,300276
600277,Maryland,"(39.29058096400047, -76.60926011099963)",377,150277,300277
600278,Nevada,"(39.493240390000494, -117.07184056399967)",378,150278,300278
600279,Rhode Island,"(41.70828019300046, -71.52247031399963)",379,150279,300279
600280,Ohio,"(40.06021014100048, -82.40426005599966)",380,150280,300280
600281,Idaho,"(43.682630005000476, -114.3637300419997)",381,150281,300281
600282,Texas,"(31.827240407000488, -99.42677020599967)",382,150282,300282
600283,Minnesota,"(46.355648736, -94.794200503)",383,150283,300283
600284,West Virginia,"(38.665510202, -80.712640135)",384,150284,300284
600285,Texas,"(31.827240407, -99.426770206)",385,150285,300285
600286,Oregon,"(44.567449424, -120.155031326)",386,150286,300286
600287,Virgin Islands,"(18.335765, -64.896335)",387,150287,300287
600288,Texas,"(31.827240407, -99.426770206)",388,150288,300288
600289,Maine,"(45.254228894001, -68.985031336)",389,150289,300289
600290,Alabama,"(32.84057112200048, -86.63186076199969)",390,150290,300290
600291,Alabama,"(32.84057112200048, -86.63186076199969)",391,150291,300291
600292,Maine,"(45.254228894000505, -68.98503133599962)",392,150292,300292
600293,North Dakota,"(47.47531977900047, -100.11842104899966)",393,150293,300293
600294,Delaware,"(39.008830667000495, -75.57774116799965)",394,150294,300294
600295,Missouri,"(38.635790776000476, -92.56630005299968)",395,150295,300295
600296,Colorado,"(38.843840757000464, -106.13361092099967)",396,150296,300296
600297,New Hampshire,"(43.65595011300047, -71.50036091999965)",397,150297,300297
600298,Pennsylvania,"(40.79373015200048, -77.86070029399963)",398,150298,300298
600299,Wisconsin,"(44.39319117400049, -89.81637074199966)",399,150299,300299
600300,Illinois,"(40.48501028300046, -88.99771017799969)",400,150300,300300
600301,Delaware,"(39.008830667000495, -75.57774116799965)",401,150301,300301
600302,New Hampshire,"(43.65595011300047, -71.50036091999965)",402,150302,300302
600303,Maryland,"(39.29058096400047, -76.60926011099963)",403,150303,300303
600304,Idaho,"(43.682630005000476, -114.3637300419997)",404,150304,300304
600305,Arizona,"(34.865970280000454, -111.76381127699972)",405,150305,300305
600306,Puerto Rico,"(18.220833, -66.590149)",406,150306,300306
600307,Virginia,"(37.542680674, -78.457890463)",407,150307,300307
600308,Colorado,"(38.843840757000464, -106.13361092099967)",408,150308,300308
600309,Connecticut,"(41.56266102000046, -72.64984095199964)",409,150309,300309
600310,Illinois,"(40.48501028300046, -88.99771017799969)",410,150310,300310
600311,Washington,"(47.52227862900048, -120.47001078999972)",411,150311,300311
600312,Washington,"(47.52227862900048, -120.47001078999972)",412,150312,300312
600313,Wyoming,"(43.23554134300048, -108.10983035299967)",413,150313,300313
600314,Georgia,"(32.83968109300048, -83.62758034599966)",414,150314,300314
600315,Virginia,"(37.54268067400045, -78.45789046299967)",415,150315,300315
600316,California,"(37.63864012300047, -120.99999953799971)",416,150316,300316
600317,New Hampshire,"(43.65595011300047, -71.50036091999965)",417,150317,300317
600318,Connecticut,"(41.56266102000046, -72.64984095199964)",418,150318,300318
600319,Tennessee,"(35.68094058000048, -85.77449091399967)",419,150319,300319
600320,Tennessee,"(35.68094058000048, -85.77449091399967)",420,150320,300320
600321,North Carolina,"(35.466220975000454, -79.15925046299964)",421,150321,300321
600322,Colorado,"(38.843840757000464, -106.13361092099967)",422,150322,300322
600323,Massachusetts,"(42.27687047000046, -72.08269067499964)",423,150323,300323
600324,Indiana,"(39.766910452000445, -86.14996019399968)",424,150324,300324
600325,Iowa,"(42.46940091300047, -93.81649055599968)",425,150325,300325
600326,Arizona,"(34.865970280000454, -111.76381127699972)",426,150326,300326
600327,Utah,"(39.360700171000474, -111.58713063499971)",427,150327,300327
600328,California,"(37.63864012300047, -120.99999953799971)",428,150328,300328
600329,Arkansas,"(34.74865012400045, -92.27449074299966)",429,150329,300329
600330,Rhode Island,"(41.70828019300046, -71.52247031399963)",430,150330,300330
600331,Wisconsin,"(44.39319117400049, -89.81637074199966)",431,150331,300331
600332,Arkansas,"(34.74865012400045, -92.27449074299966)",432,150332,300332
600333,Georgia,"(32.83968109300048, -83.62758034599966)",433,150333,300333
600334,Ohio,"(40.06021014100048, -82.40426005599966)",434,150334,300334
600335,Alaska,"(64.84507995700051, -147.72205903599973)",435,150335,300335
600336,Puerto Rico,"(18.220833, -66.590149)",436,150336,300336
600337,New York,"(42.82700103200045, -75.54397042699964)",437,150337,300337
600338,Puerto Rico,"(18.220833, -66.590149)",438,150338,300338
600339,Mississippi,"(32.745510099000455, -89.53803082499968)",439,150339,300339
600340,Wisconsin,"(44.39319117400049, -89.81637074199966)",440,150340,300340
600341,Iowa,"(42.46940091300047, -93.81649055599968)",441,150341,300341
600342,Illinois,"(40.48501028300046, -88.99771017799969)",442,150342,300342
600343,New York,"(42.82700103200045, -75.54397042699964)",443,150343,300343
600344,Washington,"(47.52227862900048, -120.47001078999972)",444,150344,300344
600345,Pennsylvania,"(40.79373015200048, -77.86070029399963)",445,150345,300345
600346,Iowa,"(42.46940091300047, -93.81649055599968)",446,150346,300346
600347,Maine,"(45.254228894000505, -68.98503133599962)",447,150347,300347
600348,Alaska,"(64.84507995700051, -147.72205903599973)",448,150348,300348
600349,Rhode Island,"(41.70828019300046, -71.52247031399963)",449,150349,300349
600350,Mississippi,"(32.745510099000455, -89.53803082499968)",450,150350,300350
600351,Guam,"(13.444304, 144.793731)",451,150351,300351
600352,Illinois,"(40.48501028300046, -88.99771017799969)",452,150352,300352
600353,Ohio,"(40.06021014100048, -82.40426005599966)",453,150353,300353
600354,Nebraska,"(41.6410409880005, -99.36572062299967)",454,150354,300354
600355,Utah,"(39.360700171000474, -111.58713063499971)",455,150355,300355
600356,Mississippi,"(32.745510099000455, -89.53803082499968)",456,150356,300356
600357,Nebraska,"(41.6410409880005, -99.36572062299967)",457,150357,300357
600358,New Jersey,"(40.13057004800049, -74.27369128799967)",458,150358,300358
600359,Georgia,"(32.83968109300048, -83.62758034599966)",459,150359,300359
600360,Arizona,"(34.865970280000454, -111.76381127699972)",460,150360,300360
600361,New York,"(42.82700103200045, -75.54397042699964)",461,150361,300361
600362,Michigan,"(44.6613195430005, -84.71439026999968)",462,150362,300362
600363,Nevada,"(39.493240390000494, -117.07184056399967)",463,150363,300363
600364,South Dakota,"(44.353130053000484, -100.3735306369997)",464,150364,300364
600365,Minnesota,"(46.35564873600049, -94.79420050299967)",465,150365,300365
600366,Missouri,"(38.635790776000476, -92.56630005299968)",466,150366,300366
600367,Maryland,"(39.29058096400047, -76.60926011099963)",467,150367,300367
600368,New Hampshire,"(43.65595011300047, -71.50036091999965)",468,150368,300368
600369,Michigan,"(44.6613195430005, -84.71439026999968)",469,150369,300369
600370,Michigan,"(44.6613195430005, -84.71439026999968)",470,150370,300370
600371,Wyoming,"(43.23554134300048, -108.10983035299967)",471,150371,300371
600372,Massachusetts,"(42.27687047000046, -72.08269067499964)",472,150372,300372
600373,North Dakota,"(47.47531977900047, -100.11842104899966)",473,150373,300373
600374,Delaware,"(39.008830667000495, -75.57774116799965)",474,150374,300374
600375,Virginia,"(37.54268067400045, -78.45789046299967)",475,150375,300375
600376,Pennsylvania,"(40.79373015200048, -77.86070029399963)",476,150376,300376
600377,Missouri,"(38.635790776000476, -92.56630005299968)",477,150377,300377
600378,West Virginia,"(38.66551020200046, -80.71264013499967)",478,150378,300378
600379,Texas,"(31.827240407000488, -99.42677020599967)",479,150379,300379
600380,Hawaii,"(21.304850435000446, -157.85774940299973)",480,150380,300380
600381,Utah,"(39.360700171000474, -111.58713063499971)",481,150381,300381
600382,Massachusetts,"(42.27687047000046, -72.08269067499964)",482,150382,300382
600383,North Dakota,"(47.47531977900047, -100.11842104899966)",483,150383,300383
600384,Florida,"(28.932040377000476, -81.92896053899966)",484,150384,300384
600385,New Mexico,"(34.52088095200048, -106.24058098499967)",485,150385,300385
600386,North Carolina,"(35.466220975000454, -79.15925046299964)",486,150386,300386
600387,Utah,"(39.360700171000474, -111.58713063499971)",487,150387,300387
600388,Missouri,"(38.635790776000476, -92.56630005299968)",488,150388,300388
600389,North Dakota,"(47.47531977900047, -100.11842104899966)",489,150389,300389
600390,California,"(37.63864012300047, -120.99999953799971)",490,150390,300390
600391,South Dakota,"(44.353130053000484, -100.3735306369997)",491,150391,300391
600392,Nevada,"(39.493240390000494, -117.07184056399967)",492,150392,300392
600393,Louisiana,"(31.31266064400046, -92.44568007099969)",493,150393,300393
