Survey_ID,Response_ID,Response_Year,Response_Month,Class
500104,400104,2018,6,Obesity / Weight Status
500105,400105,2018,7,Obesity / Weight Status
500106,400106,2018,12,Obesity / Weight Status
500107,400107,2018,9,Obesity / Weight Status
500108,400108,2018,11,Obesity / Weight Status
500109,400109,2018,3,Obesity / Weight Status
500110,400110,2018,2,Obesity / Weight Status
500111,400111,2018,1,Physical Activity
500112,400112,2018,12,Obesity / Weight Status
500113,400113,2018,3,Obesity / Weight Status
500114,400114,2018,10,Obesity / Weight Status
500115,400115,2018,3,Physical Activity
500116,400116,2018,10,Physical Activity
500117,400117,2017,10,Fruits and Vegetables
500118,400118,2018,8,Obesity / Weight Status
500119,400119,2018,1,Physical Activity
500120,400120,2018,11,Physical Activity
500121,400121,2018,4,Physical Activity
500122,400122,2018,9,Obesity / Weight Status
500123,400123,2018,10,Obesity / Weight Status
500124,400124,2018,9,Obesity / Weight Status
500125,400125,2018,2,Obesity / Weight Status
500126,400126,2018,10,Obesity / Weight Status
500127,400127,2018,4,Physical Activity
500128,400128,2018,7,Obesity / Weight Status
500129,400129,2018,6,Obesity / Weight Status
500130,400130,2018,4,Physical Activity
500131,400131,2018,2,Obesity / Weight Status
500132,400132,2018,2,Obesity / Weight Status
500133,400133,2018,10,Obesity / Weight Status
500134,400134,2018,3,Physical Activity
500135,400135,2018,6,Obesity / Weight Status
500136,400136,2018,9,Obesity / Weight Status
500137,400137,2018,5,Obesity / Weight Status
500138,400138,2018,2,Obesity / Weight Status
500139,400139,2018,7,Physical Activity
500140,400140,2018,6,Obesity / Weight Status
500141,400141,2018,1,Obesity / Weight Status
500142,400142,2018,9,Obesity / Weight Status
500143,400143,2018,9,Obesity / Weight Status
500144,400144,2018,3,Obesity / Weight Status
500145,400145,2018,9,Physical Activity
500146,400146,2018,6,Obesity / Weight Status
500147,400147,2018,9,Physical Activity
500148,400148,2018,6,Obesity / Weight Status
500149,400149,2018,5,Obesity / Weight Status
500150,400150,2018,6,Physical Activity
500151,400151,2018,8,Physical Activity
500152,400152,2018,4,Physical Activity
500153,400153,2018,6,Obesity / Weight Status
500154,400154,2018,3,Physical Activity
500155,400155,2018,6,Obesity / Weight Status
500156,400156,2018,9,Obesity / Weight Status
500157,400157,2018,4,Physical Activity
500158,400158,2018,12,Physical Activity
500159,400159,2018,7,Physical Activity
500160,400160,2018,12,Obesity / Weight Status
500161,400161,2018,12,Physical Activity
500162,400162,2018,12,Obesity / Weight Status
500163,400163,2018,3,Obesity / Weight Status
500164,400164,2018,5,Obesity / Weight Status
500165,400165,2018,5,Obesity / Weight Status
500166,400166,2018,1,Obesity / Weight Status
500167,400167,2018,3,Obesity / Weight Status
500168,400168,2018,1,Obesity / Weight Status
500169,400169,2011,11,Obesity / Weight Status
500170,400170,2018,11,Physical Activity
500171,400171,2018,4,Obesity / Weight Status
500172,400172,2018,8,Obesity / Weight Status
500173,400173,2018,3,Obesity / Weight Status
500174,400174,2014,7,Obesity / Weight Status
500175,400175,2018,5,Physical Activity
500176,400176,2018,9,Obesity / Weight Status
500177,400177,2018,6,Physical Activity
500178,400178,2018,7,Obesity / Weight Status
500179,400179,2018,2,Physical Activity
500180,400180,2018,5,Obesity / Weight Status
500181,400181,2018,7,Obesity / Weight Status
500182,400182,2018,3,Obesity / Weight Status
500183,400183,2018,7,Obesity / Weight Status
500184,400184,2018,10,Physical Activity
500185,400185,2018,3,Physical Activity
500186,400186,2018,5,Obesity / Weight Status
500187,400187,2018,1,Obesity / Weight Status
500188,400188,2015,7,Obesity / Weight Status
500189,400189,2018,9,Physical Activity
500190,400190,2018,11,Obesity / Weight Status
500191,400191,2018,11,Obesity / Weight Status
500192,400192,2018,3,Obesity / Weight Status
500193,400193,2018,8,Obesity / Weight Status
500194,400194,2018,12,Physical Activity
500195,400195,2018,1,Obesity / Weight Status
500196,400196,2018,3,Obesity / Weight Status
500197,400197,2018,11,Physical Activity
500198,400198,2018,11,Obesity / Weight Status
500199,400199,2018,3,Obesity / Weight Status
500200,400200,2018,7,Physical Activity
500201,400201,2018,7,Obesity / Weight Status
500202,400202,2018,4,Physical Activity
500203,400203,2018,12,Obesity / Weight Status
500204,400204,2018,5,Physical Activity
500205,400205,2018,11,Physical Activity
500206,400206,2018,2,Obesity / Weight Status
500207,400207,2016,4,Obesity / Weight Status
500208,400208,2016,8,Obesity / Weight Status
500209,400209,2016,8,Obesity / Weight Status
500210,400210,2016,4,Physical Activity
500211,400211,2016,3,Obesity / Weight Status
500212,400212,2016,12,Obesity / Weight Status
500213,400213,2018,8,Obesity / Weight Status
500214,400214,2018,4,Obesity / Weight Status
500215,400215,2018,4,Obesity / Weight Status
500216,400216,2018,5,Obesity / Weight Status
500217,400217,2018,12,Obesity / Weight Status
500218,400218,2018,2,Obesity / Weight Status
500219,400219,2018,2,Physical Activity
500220,400220,2018,12,Physical Activity
500221,400221,2018,7,Physical Activity
500222,400222,2014,2,Obesity / Weight Status
500223,400223,2018,10,Obesity / Weight Status
500224,400224,2018,11,Obesity / Weight Status
500225,400225,2018,6,Obesity / Weight Status
500226,400226,2018,10,Obesity / Weight Status
500227,400227,2018,11,Obesity / Weight Status
500228,400228,2018,1,Physical Activity
500229,400229,2018,6,Obesity / Weight Status
500230,400230,2018,9,Physical Activity
500231,400231,2018,11,Obesity / Weight Status
500232,400232,2018,12,Obesity / Weight Status
500233,400233,2018,4,Obesity / Weight Status
500234,400234,2018,1,Obesity / Weight Status
500235,400235,2018,5,Obesity / Weight Status
500236,400236,2018,10,Physical Activity
500237,400237,2013,8,Physical Activity
500238,400238,2018,12,Physical Activity
500239,400239,2018,4,Obesity / Weight Status
500240,400240,2018,6,Obesity / Weight Status
500241,400241,2018,11,Obesity / Weight Status
500242,400242,2018,9,Physical Activity
500243,400243,2018,10,Obesity / Weight Status
500244,400244,2018,8,Obesity / Weight Status
500245,400245,2018,2,Obesity / Weight Status
500246,400246,2018,6,Physical Activity
500247,400247,2018,1,Obesity / Weight Status
500248,400248,2018,2,Obesity / Weight Status
500249,400249,2018,7,Obesity / Weight Status
500250,400250,2018,4,Obesity / Weight Status
500251,400251,2018,8,Physical Activity
500252,400252,2018,2,Obesity / Weight Status
500253,400253,2018,6,Obesity / Weight Status
500254,400254,2018,12,Obesity / Weight Status
500255,400255,2018,10,Obesity / Weight Status
500256,400256,2018,2,Physical Activity
500257,400257,2018,3,Obesity / Weight Status
500258,400258,2018,6,Obesity / Weight Status
500259,400259,2018,10,Obesity / Weight Status
500260,400260,2018,9,Obesity / Weight Status
500261,400261,2018,5,Obesity / Weight Status
500262,400262,2018,7,Obesity / Weight Status
500263,400263,2018,10,Obesity / Weight Status
500264,400264,2018,3,Physical Activity
500265,400265,2018,10,Obesity / Weight Status
500266,400266,2018,8,Physical Activity
500267,400267,2018,9,Obesity / Weight Status
500268,400268,2018,4,Physical Activity
500269,400269,2018,9,Obesity / Weight Status
500270,400270,2018,8,Obesity / Weight Status
500271,400271,2018,3,Obesity / Weight Status
500272,400272,2018,7,Obesity / Weight Status
500273,400273,2018,9,Obesity / Weight Status
500274,400274,2018,2,Obesity / Weight Status
500275,400275,2018,6,Obesity / Weight Status
500276,400276,2018,4,Obesity / Weight Status
500277,400277,2018,11,Physical Activity
500278,400278,2018,4,Physical Activity
500279,400279,2018,3,Physical Activity
500280,400280,2018,11,Obesity / Weight Status
500281,400281,2018,8,Physical Activity
500282,400282,2018,8,Obesity / Weight Status
500283,400283,2016,10,Obesity / Weight Status
500284,400284,2016,12,Obesity / Weight Status
500285,400285,2016,12,Obesity / Weight Status
500286,400286,2016,7,Physical Activity
500287,400287,2016,11,Obesity / Weight Status
500288,400288,2016,10,Obesity / Weight Status
500289,400289,2016,2,Physical Activity
500290,400290,2018,4,Obesity / Weight Status
500291,400291,2018,10,Physical Activity
500292,400292,2018,10,Physical Activity
500293,400293,2018,9,Physical Activity
500294,400294,2018,5,Physical Activity
500295,400295,2018,11,Physical Activity
500296,400296,2018,1,Obesity / Weight Status
500297,400297,2018,2,Physical Activity
500298,400298,2018,5,Obesity / Weight Status
500299,400299,2018,11,Obesity / Weight Status
500300,400300,2018,10,Obesity / Weight Status
500301,400301,2018,2,Obesity / Weight Status
500302,400302,2018,10,Obesity / Weight Status
500303,400303,2018,6,Obesity / Weight Status
500304,400304,2018,1,Obesity / Weight Status
500305,400305,2018,5,Physical Activity
500306,400306,2018,9,Obesity / Weight Status
500307,400307,2015,3,Obesity / Weight Status
500308,400308,2018,8,Physical Activity
500309,400309,2018,4,Obesity / Weight Status
500310,400310,2018,9,Physical Activity
500311,400311,2018,9,Physical Activity
500312,400312,2018,4,Obesity / Weight Status
500313,400313,2018,12,Obesity / Weight Status
500314,400314,2018,2,Obesity / Weight Status
500315,400315,2018,8,Obesity / Weight Status
500316,400316,2018,3,Obesity / Weight Status
500317,400317,2018,2,Obesity / Weight Status
500318,400318,2018,8,Physical Activity
500319,400319,2018,12,Physical Activity
500320,400320,2018,11,Obesity / Weight Status
500321,400321,2018,1,Obesity / Weight Status
500322,400322,2018,1,Obesity / Weight Status
500323,400323,2018,4,Obesity / Weight Status
500324,400324,2018,10,Physical Activity
500325,400325,2018,5,Obesity / Weight Status
500326,400326,2018,9,Obesity / Weight Status
500327,400327,2018,10,Obesity / Weight Status
500328,400328,2018,4,Obesity / Weight Status
500329,400329,2018,2,Obesity / Weight Status
500330,400330,2018,1,Obesity / Weight Status
500331,400331,2018,2,Obesity / Weight Status
500332,400332,2018,1,Physical Activity
500333,400333,2018,6,Obesity / Weight Status
500334,400334,2018,4,Physical Activity
500335,400335,2018,5,Obesity / Weight Status
500336,400336,2015,12,Physical Activity
500337,400337,2018,12,Obesity / Weight Status
500338,400338,2014,4,Obesity / Weight Status
500339,400339,2018,1,Obesity / Weight Status
500340,400340,2018,12,Physical Activity
500341,400341,2018,2,Obesity / Weight Status
500342,400342,2018,9,Obesity / Weight Status
500343,400343,2018,1,Obesity / Weight Status
500344,400344,2018,5,Obesity / Weight Status
500345,400345,2018,4,Obesity / Weight Status
500346,400346,2018,1,Obesity / Weight Status
500347,400347,2018,4,Obesity / Weight Status
500348,400348,2018,5,Physical Activity
500349,400349,2018,12,Physical Activity
500350,400350,2018,10,Obesity / Weight Status
500351,400351,2015,8,Obesity / Weight Status
500352,400352,2018,10,Obesity / Weight Status
500353,400353,2018,9,Obesity / Weight Status
500354,400354,2018,4,Obesity / Weight Status
500355,400355,2018,12,Physical Activity
500356,400356,2018,12,Obesity / Weight Status
500357,400357,2018,10,Obesity / Weight Status
500358,400358,2018,2,Physical Activity
500359,400359,2018,8,Obesity / Weight Status
500360,400360,2018,9,Physical Activity
500361,400361,2018,8,Obesity / Weight Status
500362,400362,2018,4,Physical Activity
500363,400363,2018,9,Obesity / Weight Status
500364,400364,2018,10,Obesity / Weight Status
500365,400365,2018,9,Obesity / Weight Status
500366,400366,2018,10,Obesity / Weight Status
500367,400367,2018,1,Physical Activity
500368,400368,2018,1,Physical Activity
500369,400369,2018,4,Physical Activity
500370,400370,2018,3,Obesity / Weight Status
500371,400371,2018,12,Physical Activity
500372,400372,2018,4,Obesity / Weight Status
500373,400373,2018,12,Obesity / Weight Status
500374,400374,2018,4,Obesity / Weight Status
500375,400375,2018,3,Obesity / Weight Status
500376,400376,2018,6,Physical Activity
500377,400377,2018,12,Physical Activity
500378,400378,2018,9,Physical Activity
500379,400379,2018,6,Obesity / Weight Status
500380,400380,2018,8,Physical Activity
500381,400381,2018,3,Obesity / Weight Status
500382,400382,2018,4,Physical Activity
500383,400383,2018,4,Obesity / Weight Status
500384,400384,2018,8,Obesity / Weight Status
500385,400385,2018,12,Obesity / Weight Status
500386,400386,2018,2,Physical Activity
500387,400387,2018,8,Obesity / Weight Status
500388,400388,2018,2,Obesity / Weight Status
500389,400389,2018,10,Obesity / Weight Status
500390,400390,2018,4,Obesity / Weight Status
500391,400391,2018,6,Physical Activity
500392,400392,2018,10,Physical Activity
500393,400393,2018,1,Obesity / Weight Status
500394,400394,2018,2,Obesity / Weight Status
500395,400395,2018,2,Obesity / Weight Status
500396,400396,2018,9,Physical Activity
500397,400397,2018,9,Physical Activity
500398,400398,2018,7,Obesity / Weight Status
500399,400399,2018,11,Obesity / Weight Status
500400,400400,2018,10,Physical Activity
500401,400401,2018,7,Obesity / Weight Status
500402,400402,2018,11,Obesity / Weight Status
500403,400403,2018,3,Obesity / Weight Status
500404,400404,2018,1,Obesity / Weight Status
500405,400405,2018,7,Obesity / Weight Status
500406,400406,2018,11,Obesity / Weight Status
500407,400407,2018,12,Physical Activity
500408,400408,2018,4,Physical Activity
500409,400409,2018,1,Obesity / Weight Status
500410,400410,2018,11,Obesity / Weight Status
500411,400411,2018,4,Obesity / Weight Status
500412,400412,2018,6,Physical Activity
500413,400413,2018,9,Obesity / Weight Status
500414,400414,2018,5,Physical Activity
500415,400415,2018,5,Obesity / Weight Status
500416,400416,2018,10,Obesity / Weight Status
500417,400417,2018,3,Physical Activity
500418,400418,2018,7,Obesity / Weight Status
500419,400419,2018,1,Obesity / Weight Status
500420,400420,2018,8,Obesity / Weight Status
500421,400421,2018,9,Physical Activity
500422,400422,2018,12,Physical Activity
500423,400423,2018,5,Obesity / Weight Status
500424,400424,2018,4,Physical Activity
500425,400425,2018,7,Physical Activity
500426,400426,2018,2,Obesity / Weight Status
500427,400427,2018,5,Obesity / Weight Status
500428,400428,2018,2,Obesity / Weight Status
500429,400429,2018,7,Physical Activity
500430,400430,2018,5,Obesity / Weight Status
500431,400431,2018,12,Obesity / Weight Status
500432,400432,2018,11,Obesity / Weight Status
500433,400433,2018,10,Obesity / Weight Status
500434,400434,2018,3,Physical Activity
500435,400435,2018,2,Obesity / Weight Status
500436,400436,2018,12,Obesity / Weight Status
500437,400437,2018,10,Obesity / Weight Status
500438,400438,2018,10,Obesity / Weight Status
500439,400439,2018,2,Obesity / Weight Status
500440,400440,2018,1,Physical Activity
500441,400441,2018,3,Physical Activity
500442,400442,2018,10,Physical Activity
500443,400443,2018,10,Obesity / Weight Status
500444,400444,2018,1,Physical Activity
500445,400445,2018,12,Obesity / Weight Status
500446,400446,2018,6,Physical Activity
500447,400447,2018,11,Physical Activity
500448,400448,2018,5,Physical Activity
500449,400449,2018,11,Physical Activity
500450,400450,2018,2,Physical Activity
500451,400451,2018,6,Obesity / Weight Status
500452,400452,2018,2,Physical Activity
500453,400453,2018,11,Obesity / Weight Status
500454,400454,2018,12,Physical Activity
500455,400455,2018,3,Obesity / Weight Status
500456,400456,2018,7,Obesity / Weight Status
500457,400457,2018,4,Obesity / Weight Status
500458,400458,2018,10,Physical Activity
500459,400459,2018,3,Obesity / Weight Status
500460,400460,2018,3,Obesity / Weight Status
500461,400461,2018,12,Obesity / Weight Status
500462,400462,2018,5,Obesity / Weight Status
500463,400463,2018,2,Obesity / Weight Status
500464,400464,2018,9,Obesity / Weight Status
500465,400465,2018,6,Obesity / Weight Status
500466,400466,2018,1,Obesity / Weight Status
500467,400467,2018,12,Obesity / Weight Status
500468,400468,2018,2,Obesity / Weight Status
500469,400469,2018,2,Obesity / Weight Status
500470,400470,2018,3,Obesity / Weight Status
500471,400471,2018,10,Obesity / Weight Status
500472,400472,2018,11,Obesity / Weight Status
500473,400473,2018,8,Obesity / Weight Status
500474,400474,2018,2,Physical Activity
500475,400475,2018,1,Obesity / Weight Status
500476,400476,2018,11,Physical Activity
500477,400477,2018,1,Obesity / Weight Status
500478,400478,2018,6,Physical Activity
500479,400479,2018,2,Physical Activity
500480,400480,2018,3,Obesity / Weight Status
500481,400481,2018,12,Obesity / Weight Status
500482,400482,2018,7,Obesity / Weight Status
500483,400483,2018,2,Obesity / Weight Status
500484,400484,2018,7,Physical Activity
500485,400485,2018,11,Obesity / Weight Status
500486,400486,2018,7,Physical Activity
500487,400487,2018,3,Physical Activity
500488,400488,2018,8,Obesity / Weight Status
500489,400489,2018,3,Obesity / Weight Status
500490,400490,2018,11,Obesity / Weight Status
500491,400491,2018,5,Physical Activity
500492,400492,2018,7,Obesity / Weight Status
500493,400493,2018,12,Obesity / Weight Status
500494,400494,2018,9,Obesity / Weight Status
500495,400495,2015,6,Obesity / Weight Status
500496,400496,2018,11,Obesity / Weight Status
500497,400497,2018,11,Obesity / Weight Status
500498,400498,2018,6,Physical Activity
500499,400499,2018,2,Obesity / Weight Status
500500,400500,2018,4,Obesity / Weight Status
500501,400501,2018,5,Physical Activity
500502,400502,2018,10,Obesity / Weight Status
500503,400503,2018,5,Obesity / Weight Status
500504,400504,2018,8,Obesity / Weight Status
500505,400505,2018,3,Obesity / Weight Status
500506,400506,2018,2,Obesity / Weight Status
500507,400507,2018,1,Physical Activity
500508,400508,2018,12,Obesity / Weight Status
500509,400509,2018,8,Physical Activity
500510,400510,2018,1,Physical Activity
500511,400511,2018,10,Obesity / Weight Status
500512,400512,2018,9,Obesity / Weight Status
500513,400513,2018,10,Obesity / Weight Status
500514,400514,2013,2,Obesity / Weight Status
500515,400515,2018,2,Obesity / Weight Status
500516,400516,2018,4,Obesity / Weight Status
500517,400517,2018,2,Physical Activity
500518,400518,2018,6,Obesity / Weight Status
500519,400519,2018,8,Obesity / Weight Status
500520,400520,2018,1,Physical Activity
500521,400521,2018,1,Obesity / Weight Status
500522,400522,2018,6,Physical Activity
500523,400523,2018,9,Obesity / Weight Status
500524,400524,2018,3,Physical Activity
500525,400525,2018,6,Physical Activity
500526,400526,2018,12,Obesity / Weight Status
500527,400527,2018,6,Physical Activity
500528,400528,2016,7,Obesity / Weight Status
500529,400529,2016,4,Obesity / Weight Status
500530,400530,2016,12,Physical Activity
500531,400531,2016,2,Obesity / Weight Status
500532,400532,2016,3,Obesity / Weight Status
500533,400533,2018,4,Obesity / Weight Status
500534,400534,2018,11,Obesity / Weight Status
500535,400535,2018,6,Obesity / Weight Status
500536,400536,2018,12,Obesity / Weight Status
500537,400537,2018,10,Obesity / Weight Status
500538,400538,2018,9,Obesity / Weight Status
500539,400539,2018,8,Obesity / Weight Status
500540,400540,2018,5,Obesity / Weight Status
500541,400541,2018,5,Physical Activity
500542,400542,2018,12,Physical Activity
500543,400543,2018,2,Physical Activity
500544,400544,2018,2,Physical Activity
500545,400545,2018,8,Obesity / Weight Status
500546,400546,2018,7,Physical Activity
500547,400547,2017,6,Obesity / Weight Status
500548,400548,2018,12,Physical Activity
500549,400549,2018,1,Obesity / Weight Status
500550,400550,2018,4,Obesity / Weight Status
500551,400551,2018,3,Obesity / Weight Status
500552,400552,2018,2,Obesity / Weight Status
500553,400553,2018,1,Obesity / Weight Status
500554,400554,2018,7,Physical Activity
500555,400555,2018,8,Obesity / Weight Status
500556,400556,2018,7,Physical Activity
500557,400557,2018,12,Obesity / Weight Status
500558,400558,2018,7,Physical Activity
500559,400559,2018,2,Physical Activity
500560,400560,2018,6,Obesity / Weight Status
500561,400561,2018,10,Obesity / Weight Status
500562,400562,2018,7,Obesity / Weight Status
500563,400563,2018,6,Physical Activity
500564,400564,2018,4,Obesity / Weight Status
500565,400565,2018,10,Obesity / Weight Status
500566,400566,2018,10,Obesity / Weight Status
500567,400567,2018,12,Physical Activity
500568,400568,2018,9,Physical Activity
500569,400569,2018,5,Obesity / Weight Status
500570,400570,2018,2,Obesity / Weight Status
500571,400571,2018,12,Physical Activity
500572,400572,2018,5,Obesity / Weight Status
500573,400573,2018,3,Physical Activity
500574,400574,2018,5,Obesity / Weight Status
500575,400575,2018,4,Obesity / Weight Status
500576,400576,2018,9,Obesity / Weight Status
500577,400577,2018,3,Physical Activity
500578,400578,2016,6,Obesity / Weight Status
500579,400579,2016,3,Physical Activity
500580,400580,2016,8,Physical Activity
500581,400581,2016,8,Physical Activity
500582,400582,2016,2,Obesity / Weight Status
500583,400583,2018,2,Obesity / Weight Status
500584,400584,2018,4,Physical Activity
500585,400585,2018,4,Physical Activity
500586,400586,2018,12,Obesity / Weight Status
500587,400587,2018,5,Obesity / Weight Status
500588,400588,2018,12,Physical Activity
500589,400589,2018,7,Obesity / Weight Status
500590,400590,2018,9,Physical Activity
500591,400591,2018,4,Physical Activity
500592,400592,2018,12,Obesity / Weight Status
500593,400593,2018,12,Physical Activity
500594,400594,2015,11,Physical Activity
500595,400595,2018,3,Obesity / Weight Status
500596,400596,2018,11,Obesity / Weight Status
500597,400597,2018,12,Obesity / Weight Status
500598,400598,2018,3,Obesity / Weight Status
500599,400599,2018,5,Obesity / Weight Status
500600,400600,2018,11,Physical Activity
500601,400601,2018,10,Obesity / Weight Status
500602,400602,2018,10,Obesity / Weight Status
500603,400603,2017,7,Fruits and Vegetables
500604,400604,2017,10,Physical Activity
500605,400605,2017,5,Physical Activity
500606,400606,2018,11,Obesity / Weight Status
500607,400607,2018,4,Obesity / Weight Status
500608,400608,2018,2,Obesity / Weight Status
500609,400609,2018,5,Obesity / Weight Status
500610,400610,2018,7,Obesity / Weight Status
500611,400611,2018,5,Obesity / Weight Status
500612,400612,2018,12,Obesity / Weight Status
500613,400613,2018,6,Obesity / Weight Status
500614,400614,2018,2,Obesity / Weight Status
500615,400615,2018,2,Obesity / Weight Status
500616,400616,2018,10,Obesity / Weight Status
500617,400617,2018,5,Physical Activity
500618,400618,2018,1,Physical Activity
500619,400619,2018,5,Obesity / Weight Status
500620,400620,2018,3,Obesity / Weight Status
500621,400621,2018,9,Obesity / Weight Status
500622,400622,2018,4,Obesity / Weight Status
500623,400623,2018,5,Obesity / Weight Status
500624,400624,2016,12,Obesity / Weight Status
500625,400625,2016,11,Obesity / Weight Status
500626,400626,2016,7,Physical Activity
500627,400627,2016,1,Obesity / Weight Status
500628,400628,2016,11,Physical Activity
500629,400629,2018,1,Obesity / Weight Status
500630,400630,2018,2,Physical Activity
500631,400631,2016,2,Obesity / Weight Status
500632,400632,2016,4,Obesity / Weight Status
500633,400633,2016,10,Obesity / Weight Status
500634,400634,2016,5,Obesity / Weight Status
500635,400635,2018,3,Obesity / Weight Status
500636,400636,2018,6,Obesity / Weight Status
500637,400637,2018,8,Physical Activity
500638,400638,2018,3,Physical Activity
500639,400639,2018,4,Obesity / Weight Status
500640,400640,2018,5,Obesity / Weight Status
500641,400641,2018,1,Physical Activity
500642,400642,2018,3,Obesity / Weight Status
500643,400643,2018,8,Obesity / Weight Status
500644,400644,2018,9,Physical Activity
500645,400645,2018,9,Physical Activity
500646,400646,2018,1,Physical Activity
500647,400647,2018,6,Obesity / Weight Status
500648,400648,2018,4,Obesity / Weight Status
500649,400649,2018,10,Obesity / Weight Status
500650,400650,2018,5,Physical Activity
500651,400651,2018,2,Obesity / Weight Status
500652,400652,2018,3,Physical Activity
500653,400653,2018,5,Obesity / Weight Status
500654,400654,2015,10,Physical Activity
500655,400655,2018,4,Obesity / Weight Status
500656,400656,2018,4,Obesity / Weight Status
500657,400657,2014,11,Obesity / Weight Status
500658,400658,2018,6,Physical Activity
500659,400659,2018,6,Physical Activity
500660,400660,2018,2,Obesity / Weight Status
500661,400661,2018,6,Physical Activity
500662,400662,2018,2,Obesity / Weight Status
500663,400663,2018,3,Obesity / Weight Status
500664,400664,2018,8,Obesity / Weight Status
500665,400665,2018,8,Obesity / Weight Status
500666,400666,2018,5,Physical Activity
500667,400667,2018,12,Obesity / Weight Status
500668,400668,2018,7,Obesity / Weight Status
500669,400669,2018,3,Obesity / Weight Status
500670,400670,2018,6,Obesity / Weight Status
500671,400671,2018,9,Obesity / Weight Status
500672,400672,2018,8,Obesity / Weight Status
