Activity_ID,P_ID,Duration,Activity_Type,Frequency
50187,287,Upto 45,Cardio,1
50188,288,Upto 45,Cardio,1
50189,289,Upto 300,HIT,6
50190,290,Upto 45,Cardio,1
50191,291,Upto 80,Running,2
50192,292,Upto 45,Cardio,1
50193,293,Upto 45,Cardio,1
50194,294,Upto 300,HIT,6
50195,295,Upto 80,Running,2
50196,296,Upto 80,Running,2
50197,297,Upto 300,HIT,6
50198,298,Upto 45,Cardio,1
50199,299,Upto 80,Running,2
50200,300,Upto 300,HIT,6
50201,301,Upto 80,Running,2
50202,302,Upto 300,HIT,6
50203,303,Upto 45,Cardio,1
50204,304,Upto 300,HIT,6
50205,305,Upto 300,HIT,6
50206,306,Upto 45,Cardio,1
50207,307,Upto 80,Running,2
50208,308,Upto 45,Cardio,1
50209,309,Upto 80,Running,2
50210,310,Upto 300,HIT,6
50211,311,Upto 45,Cardio,1
50212,312,Upto 45,Cardio,1
50213,313,Upto 80,Running,2
50214,314,Upto 45,Cardio,1
50215,315,Upto 45,Cardio,1
50216,316,Upto 80,Running,2
50217,317,Upto 45,Cardio,1
50218,318,Upto 80,Running,2
50219,319,Upto 300,HIT,6
50220,320,Upto 300,HIT,6
50221,321,Upto 300,HIT,6
50222,322,Upto 80,Running,2
50223,323,Upto 45,Cardio,1
50224,324,Upto 80,Running,2
50225,325,Upto 80,Running,2
50226,326,Upto 45,Cardio,1
50227,327,Upto 45,Cardio,1
50228,328,Upto 300,HIT,6
50229,329,Upto 80,Running,2
50230,330,Upto 300,HIT,6
50231,331,Upto 80,Running,2
50232,332,Upto 80,Running,2
50233,333,Upto 45,Cardio,1
50234,334,Upto 80,Running,2
50235,335,Upto 45,Cardio,1
50236,336,Upto 300,HIT,6
50237,337,Upto 175,Power Lifter,3
50238,338,Upto 300,HIT,6
50239,339,Upto 45,Cardio,1
50240,340,Upto 45,Cardio,1
50241,341,Upto 80,Running,2
50242,342,Upto 300,HIT,6
50243,343,Upto 45,Cardio,1
50244,344,Upto 45,Cardio,1
50245,345,Upto 45,Cardio,1
50246,346,Upto 300,HIT,6
50247,347,Upto 45,Cardio,1
50248,348,Upto 80,Running,2
50249,349,Upto 80,Running,2
50250,350,Upto 80,Running,2
50251,351,Upto 300,HIT,6
50252,352,Upto 80,Running,2
50253,353,Upto 45,Cardio,1
50254,354,Upto 45,Cardio,1
50255,355,Upto 45,Cardio,1
50256,356,Upto 300,HIT,6
50257,357,Upto 45,Cardio,1
50258,358,Upto 45,Cardio,1
50259,359,Upto 80,Running,2
50260,360,Upto 80,Running,2
50261,361,Upto 80,Running,2
50262,362,Upto 45,Cardio,1
50263,363,Upto 45,Cardio,1
50264,364,Upto 300,HIT,6
50265,365,Upto 80,Running,2
50266,366,Upto 300,HIT,6
50267,367,Upto 45,Cardio,1
50268,368,Upto 300,HIT,6
50269,369,Upto 45,Cardio,1
50270,370,Upto 80,Running,2
50271,371,Upto 45,Cardio,1
50272,372,Upto 80,Running,2
50273,373,Upto 80,Running,2
50274,374,Upto 80,Running,2
50275,375,Upto 80,Running,2
50276,376,Upto 45,Cardio,1
50277,377,Upto 300,HIT,6
50278,378,Upto 300,HIT,6
50279,379,Upto 300,HIT,6
50280,380,Upto 80,Running,2
50281,381,Upto 300,HIT,6
50282,382,Upto 80,Running,2
50283,383,Upto 80,Running,2
50284,384,Upto 80,Running,2
50285,385,Upto 45,Cardio,1
50286,386,Upto 300,HIT,6
50287,387,Upto 80,Running,2
50288,388,Upto 45,Cardio,1
50289,389,Upto 300,HIT,6
50290,390,Upto 80,Running,2
50291,391,Upto 300,HIT,6
50292,392,Upto 300,HIT,6
50293,393,Upto 300,HIT,6
50294,394,Upto 300,HIT,6
50295,395,Upto 300,HIT,6
50296,396,Upto 80,Running,2
50297,397,Upto 300,HIT,6
50298,398,Upto 80,Running,2
50299,399,Upto 80,Running,2
50300,400,Upto 45,Cardio,1
50301,401,Upto 45,Cardio,1
50302,402,Upto 45,Cardio,1
50303,403,Upto 45,Cardio,1
50304,404,Upto 80,Running,2
50305,405,Upto 300,HIT,6
50306,406,Upto 80,Running,2
50307,407,Upto 80,Running,2
50308,408,Upto 300,HIT,6
50309,409,Upto 80,Running,2
50310,410,Upto 300,HIT,6
50311,411,Upto 300,HIT,6
50312,412,Upto 45,Cardio,1
50313,413,Upto 45,Cardio,1
50314,414,Upto 80,Running,2
50315,415,Upto 80,Running,2
50316,416,Upto 45,Cardio,1
50317,417,Upto 80,Running,2
50318,418,Upto 300,HIT,6
50319,419,Upto 300,HIT,6
50320,420,Upto 45,Cardio,1
50321,421,Upto 45,Cardio,1
50322,422,Upto 45,Cardio,1
50323,423,Upto 80,Running,2
50324,424,Upto 300,HIT,6
50325,425,Upto 45,Cardio,1
50326,426,Upto 80,Running,2
50327,427,Upto 80,Running,2
50328,428,Upto 80,Running,2
50329,429,Upto 45,Cardio,1
50330,430,Upto 45,Cardio,1
50331,431,Upto 45,Cardio,1
50332,432,Upto 300,HIT,6
50333,433,Upto 45,Cardio,1
50334,434,Upto 300,HIT,6
50335,435,Upto 80,Running,2
50336,436,Upto 450,Everything,7
50337,437,Upto 80,Running,2
50338,438,Upto 45,Cardio,1
50339,439,Upto 80,Running,2
50340,440,Upto 300,HIT,6
50341,441,Upto 45,Cardio,1
50342,442,Upto 45,Cardio,1
50343,443,Upto 45,Cardio,1
50344,444,Upto 80,Running,2
50345,445,Upto 45,Cardio,1
50346,446,Upto 45,Cardio,1
50347,447,Upto 80,Running,2
50348,448,Upto 300,HIT,6
50349,449,Upto 300,HIT,6
50350,450,Upto 80,Running,2
50351,451,Upto 45,Cardio,1
50352,452,Upto 80,Running,2
50353,453,Upto 80,Running,2
50354,454,Upto 80,Running,2
50355,455,Upto 300,HIT,6
50356,456,Upto 45,Cardio,1
50357,457,Upto 45,Cardio,1
50358,458,Upto 300,HIT,6
50359,459,Upto 45,Cardio,1
50360,460,Upto 300,HIT,6
50361,461,Upto 45,Cardio,1
50362,462,Upto 300,HIT,6
50363,463,Upto 80,Running,2
50364,464,Upto 45,Cardio,1
50365,465,Upto 45,Cardio,1
50366,466,Upto 80,Running,2
50367,467,Upto 300,HIT,6
50368,468,Upto 300,HIT,6
50369,469,Upto 300,HIT,6
50370,470,Upto 45,Cardio,1
50371,471,Upto 300,HIT,6
50372,472,Upto 45,Cardio,1
50373,473,Upto 80,Running,2
50374,474,Upto 80,Running,2
50375,475,Upto 45,Cardio,1
50376,476,Upto 300,HIT,6
50377,477,Upto 300,HIT,6
50378,478,Upto 300,HIT,6
50379,479,Upto 80,Running,2
50380,480,Upto 300,HIT,6
50381,481,Upto 45,Cardio,1
50382,482,Upto 300,HIT,6
50383,483,Upto 45,Cardio,1
50384,484,Upto 45,Cardio,1
50385,485,Upto 45,Cardio,1
50386,486,Upto 300,HIT,6
50387,487,Upto 80,Running,2
50388,488,Upto 80,Running,2
50389,489,Upto 45,Cardio,1
50390,490,Upto 45,Cardio,1
50391,491,Upto 300,HIT,6
50392,492,Upto 300,HIT,6
50393,493,Upto 45,Cardio,1
50394,494,Upto 80,Running,2
50395,495,Upto 45,Cardio,1
50396,496,Upto 300,HIT,6
50397,497,Upto 300,HIT,6
50398,498,Upto 80,Running,2
50399,499,Upto 80,Running,2
50400,500,Upto 300,HIT,6
50401,501,Upto 80,Running,2
50402,502,Upto 45,Cardio,1
50403,503,Upto 80,Running,2
50404,504,Upto 45,Cardio,1
50405,505,Upto 45,Cardio,1
50406,506,Upto 80,Running,2
50407,507,Upto 300,HIT,6
50408,508,Upto 300,HIT,6
50409,509,Upto 45,Cardio,1
50410,510,Upto 80,Running,2
50411,511,Upto 80,Running,2
50412,512,Upto 300,HIT,6
50413,513,Upto 80,Running,2
50414,514,Upto 300,HIT,6
50415,515,Upto 45,Cardio,1
50416,516,Upto 45,Cardio,1
50417,517,Upto 300,HIT,6
50418,518,Upto 45,Cardio,1
50419,519,Upto 80,Running,2
50420,520,Upto 80,Running,2
50421,521,Upto 300,HIT,6
50422,522,Upto 300,HIT,6
50423,523,Upto 80,Running,2
50424,524,Upto 300,HIT,6
50425,525,Upto 300,HIT,6
50426,526,Upto 45,Cardio,1
50427,527,Upto 80,Running,2
50428,528,Upto 80,Running,2
50429,529,Upto 300,HIT,6
50430,530,Upto 80,Running,2
50431,531,Upto 80,Running,2
50432,532,Upto 80,Running,2
50433,533,Upto 80,Running,2
50434,534,Upto 300,HIT,6
50435,535,Upto 45,Cardio,1
50436,536,Upto 45,Cardio,1
50437,537,Upto 80,Running,2
50438,538,Upto 45,Cardio,1
50439,539,Upto 45,Cardio,1
50440,540,Upto 300,HIT,6
50441,541,Upto 300,HIT,6
50442,542,Upto 300,HIT,6
50443,543,Upto 45,Cardio,1
50444,544,Upto 300,HIT,6
50445,545,Upto 45,Cardio,1
50446,546,Upto 300,HIT,6
50447,547,Upto 300,HIT,6
50448,548,Upto 300,HIT,6
50449,549,Upto 300,HIT,6
50450,550,Upto 300,HIT,6
50451,551,Upto 80,Running,2
50452,552,Upto 300,HIT,6
50453,553,Upto 45,Cardio,1
50454,554,Upto 300,HIT,6
50455,555,Upto 45,Cardio,1
50456,556,Upto 45,Cardio,1
50457,557,Upto 45,Cardio,1
50458,558,Upto 300,HIT,6
50459,559,Upto 45,Cardio,1
50460,560,Upto 80,Running,2
50461,561,Upto 80,Running,2
50462,562,Upto 45,Cardio,1
50463,563,Upto 80,Running,2
50464,564,Upto 80,Running,2
50465,565,Upto 80,Running,2
50466,566,Upto 45,Cardio,1
50467,567,Upto 80,Running,2
50468,568,Upto 45,Cardio,1
50469,569,Upto 45,Cardio,1
50470,570,Upto 80,Running,2
50471,571,Upto 45,Cardio,1
50472,572,Upto 45,Cardio,1
50473,573,Upto 80,Running,2
50474,574,Upto 300,HIT,6
50475,575,Upto 45,Cardio,1
50476,576,Upto 300,HIT,6
50477,577,Upto 45,Cardio,1
50478,578,Upto 300,HIT,6
50479,579,Upto 300,HIT,6
50480,580,Upto 80,Running,2
50481,581,Upto 80,Running,2
50482,582,Upto 80,Running,2
50483,583,Upto 45,Cardio,1
50484,584,Upto 300,HIT,6
50485,585,Upto 45,Cardio,1
50486,586,Upto 300,HIT,6
50487,587,Upto 300,HIT,6
50488,588,Upto 45,Cardio,1
50489,589,Upto 80,Running,2
50490,590,Upto 80,Running,2
50491,591,Upto 300,HIT,6
50492,592,Upto 80,Running,2
50493,593,Upto 80,Running,2
50494,594,Upto 45,Cardio,1
50495,595,Upto 45,Cardio,1
50496,596,Upto 45,Cardio,1
50497,597,Upto 80,Running,2
50498,598,Upto 300,HIT,6
50499,599,Upto 80,Running,2
50500,600,Upto 80,Running,2
50501,601,Upto 300,HIT,6
50502,602,Upto 80,Running,2
50503,603,Upto 45,Cardio,1
50504,604,Upto 80,Running,2
50505,605,Upto 80,Running,2
50506,606,Upto 45,Cardio,1
50507,607,Upto 300,HIT,6
50508,608,Upto 45,Cardio,1
50509,609,Upto 300,HIT,6
50510,610,Upto 300,HIT,6
50511,611,Upto 80,Running,2
50512,612,Upto 80,Running,2
50513,613,Upto 45,Cardio,1
50514,614,Upto 80,Running,2
50515,615,Upto 80,Running,2
50516,616,Upto 80,Running,2
50517,617,Upto 300,HIT,6
50518,618,Upto 45,Cardio,1
50519,619,Upto 80,Running,2
50520,620,Upto 300,HIT,6
50521,621,Upto 80,Running,2
50522,622,Upto 300,HIT,6
50523,623,Upto 80,Running,2
50524,624,Upto 300,HIT,6
50525,625,Upto 300,HIT,6
50526,626,Upto 45,Cardio,1
50527,627,Upto 300,HIT,6
50528,628,Upto 80,Running,2
50529,629,Upto 80,Running,2
50530,630,Upto 300,HIT,6
50531,631,Upto 80,Running,2
50532,632,Upto 45,Cardio,1
50533,633,Upto 80,Running,2
50534,634,Upto 80,Running,2
50535,635,Upto 80,Running,2
50536,636,Upto 45,Cardio,1
50537,637,Upto 45,Cardio,1
50538,638,Upto 45,Cardio,1
50539,639,Upto 45,Cardio,1
50540,640,Upto 45,Cardio,1
50541,641,Upto 300,HIT,6
50542,642,Upto 300,HIT,6
50543,643,Upto 300,HIT,6
50544,644,Upto 300,HIT,6
50545,645,Upto 45,Cardio,1
50546,646,Upto 300,HIT,6
50547,647,Upto 45,Cardio,1
50548,648,Upto 300,HIT,6
50549,649,Upto 80,Running,2
50550,650,Upto 45,Cardio,1
50551,651,Upto 45,Cardio,1
50552,652,Upto 45,Cardio,1
50553,653,Upto 80,Running,2
50554,654,Upto 300,HIT,6
50555,655,Upto 80,Running,2
50556,656,Upto 300,HIT,6
50557,657,Upto 45,Cardio,1
50558,658,Upto 300,HIT,6
50559,659,Upto 300,HIT,6
50560,660,Upto 45,Cardio,1
50561,661,Upto 45,Cardio,1
50562,662,Upto 80,Running,2
50563,663,Upto 300,HIT,6
50564,664,Upto 45,Cardio,1
50565,665,Upto 80,Running,2
50566,666,Upto 80,Running,2
50567,667,Upto 300,HIT,6
50568,668,Upto 300,HIT,6
50569,669,Upto 80,Running,2
50570,670,Upto 80,Running,2
50571,671,Upto 300,HIT,6
50572,672,Upto 80,Running,2
50573,673,Upto 300,HIT,6
50574,674,Upto 45,Cardio,1
50575,675,Upto 45,Cardio,1
50576,676,Upto 80,Running,2
50577,677,Upto 300,HIT,6
50578,678,Upto 45,Cardio,1
50579,679,Upto 300,HIT,6
50580,680,Upto 300,HIT,6
50581,681,Upto 300,HIT,6
50582,682,Upto 80,Running,2
50583,683,Upto 80,Running,2
50584,684,Upto 300,HIT,6
50585,685,Upto 300,HIT,6
50586,686,Upto 80,Running,2
50587,687,Upto 80,Running,2
50588,688,Upto 300,HIT,6
50589,689,Upto 80,Running,2
50590,690,Upto 300,HIT,6
50591,691,Upto 300,HIT,6
50592,692,Upto 45,Cardio,1
50593,693,Upto 300,HIT,6
50594,694,Upto 175,Power Lifter,3
50595,695,Upto 45,Cardio,1
50596,696,Upto 45,Cardio,1
50597,697,Upto 80,Running,2
50598,698,Upto 80,Running,2
50599,699,Upto 80,Running,2
50600,700,Upto 300,HIT,6
50601,701,Upto 45,Cardio,1
50602,702,Upto 45,Cardio,1
50603,703,Upto 100,Fruits and Vegetables,Percent of adults who report consuming fruit less than one time daily
50604,704,Upto 300,HIT,6
50605,705,Upto 215,Muscle Training,4
50606,706,Upto 80,Running,2
50607,707,Upto 80,Running,2
50608,708,Upto 45,Cardio,1
50609,709,Upto 80,Running,2
50610,710,Upto 80,Running,2
50611,711,Upto 80,Running,2
50612,712,Upto 80,Running,2
50613,713,Upto 45,Cardio,1
50614,714,Upto 45,Cardio,1
50615,715,Upto 45,Cardio,1
50616,716,Upto 45,Cardio,1
50617,717,Upto 300,HIT,6
50618,718,Upto 300,HIT,6
50619,719,Upto 45,Cardio,1
50620,720,Upto 45,Cardio,1
50621,721,Upto 45,Cardio,1
50622,722,Upto 45,Cardio,1
50623,723,Upto 80,Running,2
50624,724,Upto 45,Cardio,1
50625,725,Upto 45,Cardio,1
50626,726,Upto 300,HIT,6
50627,727,Upto 80,Running,2
50628,728,Upto 300,HIT,6
50629,729,Upto 45,Cardio,1
50630,730,Upto 300,HIT,6
50631,731,Upto 45,Cardio,1
50632,732,Upto 80,Running,2
50633,733,Upto 80,Running,2
50634,734,Upto 45,Cardio,1
50635,735,Upto 80,Running,2
50636,736,Upto 45,Cardio,1
50637,737,Upto 300,HIT,6
50638,738,Upto 300,HIT,6
50639,739,Upto 80,Running,2
50640,740,Upto 45,Cardio,1
50641,741,Upto 300,HIT,6
50642,742,Upto 45,Cardio,1
50643,743,Upto 45,Cardio,1
50644,744,Upto 300,HIT,6
50645,745,Upto 300,HIT,6
50646,746,Upto 300,HIT,6
50647,747,Upto 80,Running,2
50648,748,Upto 80,Running,2
50649,749,Upto 45,Cardio,1
50650,750,Upto 300,HIT,6
50651,751,Upto 80,Running,2
50652,752,Upto 300,HIT,6
50653,753,Upto 80,Running,2
50654,754,Upto 300,HIT,6
50655,755,Upto 45,Cardio,1
50656,756,Upto 80,Running,2
50657,757,Upto 80,Running,2
50658,758,Upto 300,HIT,6
50659,759,Upto 300,HIT,6
50660,760,Upto 80,Running,2
50661,761,Upto 300,HIT,6
50662,762,Upto 80,Running,2
50663,763,Upto 45,Cardio,1
50664,764,Upto 80,Running,2
50665,765,Upto 45,Cardio,1
50666,766,Upto 300,HIT,6
50667,767,Upto 80,Running,2
50668,768,Upto 80,Running,2
50669,769,Upto 80,Running,2
50670,770,Upto 80,Running,2
50671,771,Upto 45,Cardio,1
50672,772,Upto 80,Running,2
50673,773,Upto 80,Running,2
50674,774,Upto 45,Cardio,1
50675,775,Upto 80,Running,2
50676,776,Upto 300,HIT,6
50677,777,Upto 45,Cardio,1
50678,778,Upto 300,HIT,6
50679,779,Upto 300,HIT,6
50680,780,Upto 45,Cardio,1
50681,781,Upto 45,Cardio,1
50682,782,Upto 300,HIT,6
50683,783,Upto 45,Cardio,1
50684,784,Upto 45,Cardio,1
50685,785,Upto 45,Cardio,1
50686,786,Upto 45,Cardio,1
50687,787,Upto 300,HIT,6
50688,788,Upto 300,HIT,6
50689,789,Upto 45,Cardio,1
50690,790,Upto 300,HIT,6
50691,791,Upto 45,Cardio,1
50692,792,Upto 80,Running,2
50693,793,Upto 300,HIT,6
50694,794,Upto 300,HIT,6
50695,795,Upto 45,Cardio,1
50696,796,Upto 45,Cardio,1
50697,797,Upto 300,HIT,6
50698,798,Upto 45,Cardio,1
50699,799,Upto 45,Cardio,1
50700,800,Upto 300,HIT,6
50701,801,Upto 300,HIT,6
50702,802,Upto 45,Cardio,1
50703,803,Upto 45,Cardio,1
50704,804,Upto 45,Cardio,1
50705,805,Upto 45,Cardio,1
50706,806,Upto 300,HIT,6
50707,807,Upto 45,Cardio,1
50708,808,Upto 300,HIT,6
50709,809,Upto 80,Running,2
50710,810,Upto 45,Cardio,1
50711,811,Upto 80,Running,2
50712,812,Upto 300,HIT,6
50713,813,Upto 45,Cardio,1
50714,814,Upto 45,Cardio,1
50715,815,Upto 80,Running,2
50716,816,Upto 300,HIT,6
50717,817,Upto 80,Running,2
50718,818,Upto 45,Cardio,1
50719,819,Upto 80,Running,2
50720,820,Upto 45,Cardio,1
50721,821,Upto 300,HIT,6
50722,822,Upto 300,HIT,6
50723,823,Upto 300,HIT,6
50724,824,Upto 45,Cardio,1
50725,825,Upto 300,HIT,6
50726,826,Upto 80,Running,2
50727,827,Upto 80,Running,2
50728,828,Upto 45,Cardio,1
50729,829,Upto 300,HIT,6
50730,830,Upto 300,HIT,6
50731,831,Upto 300,HIT,6
50732,832,Upto 300,HIT,6
50733,833,Upto 80,Running,2
50734,834,Upto 45,Cardio,1
50735,835,Upto 45,Cardio,1
50736,836,Upto 300,HIT,6
50737,837,Upto 45,Cardio,1
50738,838,Upto 300,HIT,6
50739,839,Upto 300,HIT,6
50740,840,Upto 300,HIT,6
50741,841,Upto 45,Cardio,1
50742,842,Upto 300,HIT,6
50743,843,Upto 80,Running,2
50744,844,Upto 300,HIT,6
50745,845,Upto 300,HIT,6
50746,846,Upto 45,Cardio,1
50747,847,Upto 45,Cardio,1
50748,848,Upto 45,Cardio,1
50749,849,Upto 175,Power Lifter,3
50750,850,Upto 300,HIT,6
50751,851,Upto 80,Running,2
50752,852,Upto 45,Cardio,1
50753,853,Upto 45,Cardio,1
50754,854,Upto 80,Running,2
50755,855,Upto 300,HIT,6
50756,856,Upto 45,Cardio,1
50757,857,Upto 175,Power Lifter,3
50758,858,Upto 45,Cardio,1
50759,859,Upto 300,HIT,6
50760,860,Upto 80,Running,2
50761,861,Upto 80,Running,2
50762,862,Upto 80,Running,2
50763,863,Upto 80,Running,2
50764,864,Upto 80,Running,2
50765,865,Upto 80,Running,2
50766,866,Upto 45,Cardio,1
50767,867,Upto 45,Cardio,1
50768,868,Upto 45,Cardio,1
50769,869,Upto 80,Running,2
50770,870,Upto 45,Cardio,1
50771,871,Upto 300,HIT,6
50772,872,Upto 80,Running,2
50773,873,Upto 80,Running,2
50774,874,Upto 80,Running,2
50775,875,Upto 80,Running,2
50776,876,Upto 80,Running,2
50777,877,Upto 45,Cardio,1
50778,878,Upto 45,Cardio,1
50779,879,Upto 300,HIT,6
50780,880,Upto 300,HIT,6
50781,881,Upto 45,Cardio,1
50782,882,Upto 80,Running,2
50783,883,Upto 45,Cardio,1
50784,884,Upto 80,Running,2
50785,885,Upto 80,Running,2
50786,886,Upto 300,HIT,6
50787,887,Upto 80,Running,2
50788,888,Upto 80,Running,2
50789,889,Upto 80,Running,2
50790,890,Upto 300,HIT,6
50791,891,Upto 45,Cardio,1
50792,892,Upto 80,Running,2
50793,893,Upto 300,HIT,6
50794,894,Upto 300,HIT,6
50795,895,Upto 45,Cardio,1
50796,896,Upto 45,Cardio,1
50797,897,Upto 300,HIT,6
50798,898,Upto 300,HIT,6
50799,899,Upto 80,Running,2
50800,900,Upto 80,Running,2
50801,901,Upto 45,Cardio,1
50802,902,Upto 300,HIT,6
50803,903,Upto 80,Running,2
50804,904,Upto 300,HIT,6
50805,905,Upto 80,Running,2
50806,906,Upto 45,Cardio,1
50807,907,Upto 80,Running,2
50808,908,Upto 300,HIT,6
50809,909,Upto 80,Running,2
