Weather_ID,State_ID,GeoLocation,Weather_Type,Temperature
300195,600195,"(35.47203135600046, -97.52107021399968)",Stormy,26
300196,600196,"(38.66551020200046, -80.71264013499967)",Cloudy,1
300197,600197,"(28.932040377000476, -81.92896053899966)",Rainy,30
300198,600198,"(37.645970271000465, -84.77497104799966)",Rainy,5
300199,600199,"(38.34774030000045, -98.20078122699965)",Cloudy,-4
300200,600200,"(34.865970280000454, -111.76381127699972)",Dry,36
300201,600201,"(39.29058096400047, -76.60926011099963)",Rainy,33
300202,600202,"(34.52088095200048, -106.24058098499967)",Rainy,33
300203,600203,"(44.6613195430005, -84.71439026999968)",Snowy,20
300204,600204,"(34.74865012400045, -92.27449074299966)",Sunny,19
300205,600205,"(44.56744942400047, -120.15503132599969)",Sunny,5
300206,600206,"(38.89037138500049, -77.03196112699965)",Sunny,31
300207,600207,"(41.56266102, -72.649840952)",Sunny,19
300208,600208,"(47.522278629, -120.47001079)",Rainy,8
300209,600209,"(64.845079957001, -147.722059036)",Cold,-5
300210,600210,"(38.665510202, -80.712640135)",Cloudy,19
300211,600211,"(40.060210141, -82.404260056)",Cloudy,24
300212,600212,"(38.635790776, -92.566300053)",Cloudy,21
300213,600213,"(38.843840757000464, -106.13361092099967)",Rainy,29
300214,600214,"(45.254228894000505, -68.98503133599962)",Sunny,4
300215,600215,"(32.745510099000455, -89.53803082499968)",Humid,32
300216,600216,"(13.444304, 144.793731)",Cloudy,22
300217,600217,"(13.444304, 144.793731)",Humid,28
300218,600218,"(46.35564873600049, -94.79420050299967)",Cloudy,23
300219,600219,"(38.66551020200046, -80.71264013499967)",Sunny,-4
300220,600220,"(43.682630005000476, -114.3637300419997)",Snowy,12
300221,600221,"(39.008830667000495, -75.57774116799965)",Rainy,0
300222,600222,"(13.444304, 144.793731)",Rainy,22
300223,600223,"(39.008830667000495, -75.57774116799965)",Sunny,12
300224,600224,"(42.46940091300047, -93.81649055599968)",Cloudy,-9
300225,600225,"(43.682630005000476, -114.3637300419997)",Snowy,-1
300226,600226,"(41.56266102000046, -72.64984095199964)",Sunny,8
300227,600227,"(33.998821303000454, -81.04537120699968)",Rainy,24
300228,600228,"(13.444304, 144.793731)",Sunny,27
300229,600229,"(42.27687047000046, -72.08269067499964)",Cloudy,12
300230,600230,"(47.52227862900048, -120.47001078999972)",Cloudy,14
300231,600231,"(37.645970271000465, -84.77497104799966)",Cloudy,9
300232,600232,"(43.62538123900049, -72.51764079099962)",Sunny,0
300233,600233,"(39.493240390000494, -117.07184056399967)",Sunny,32
300234,600234,"(21.304850435000446, -157.85774940299973)",Rainy,26
300235,600235,"(43.23554134300048, -108.10983035299967)",Sunny,26
300236,600236,"(35.68094058000048, -85.77449091399967)",Cloudy,30
300237,600237,"(37.638640123, -120.999999538)",Sunny,40
300238,600238,"(31.827240407000488, -99.42677020599967)",Humid,34
300239,600239,"(42.27687047000046, -72.08269067499964)",Rainy,11
300240,600240,"(47.52227862900048, -120.47001078999972)",Sunny,20
300241,600241,"(43.23554134300048, -108.10983035299967)",Cloudy,10
300242,600242,"(41.56266102000046, -72.64984095199964)",Cloudy,16
300243,600243,"(47.06652897200047, -109.42442064499971)",Snowy,-3
300244,600244,"(34.74865012400045, -92.27449074299966)",Cloudy,29
300245,600245,"(43.682630005000476, -114.3637300419997)",Sunny,-2
300246,600246,"(39.360700171000474, -111.58713063499971)",Foggy,2
300247,600247,"(18.220833, -66.590149)",Cloudy,29
300248,600248,"(39.766910452000445, -86.14996019399968)",Rainy,0
300249,600249,"(38.34774030000045, -98.20078122699965)",Rainy,7
300250,600250,"(34.865970280000454, -111.76381127699972)",Dry,32
300251,600251,"(46.35564873600049, -94.79420050299967)",Sunny,29
300252,600252,"(41.6410409880005, -99.36572062299967)",Cloudy,9
300253,600253,"(42.27687047000046, -72.08269067499964)",Sunny,3
300254,600254,"(38.66551020200046, -80.71264013499967)",Rainy,16
300255,600255,"(39.766910452000445, -86.14996019399968)",Rainy,3
300256,600256,"(42.46940091300047, -93.81649055599968)",Rainy,16
300257,600257,"(44.353130053000484, -100.3735306369997)",Cloudy,-15
300258,600258,"(47.06652897200047, -109.42442064499971)",Cloudy,17
300259,600259,"(21.304850435000446, -157.85774940299973)",Humid,26
300260,600260,"(35.466220975000454, -79.15925046299964)",Rainy,29
300261,600261,"(34.52088095200048, -106.24058098499967)",Sunny,19
300262,600262,"(43.62538123900049, -72.51764079099962)",Sunny,-13
300263,600263,"(64.84507995700051, -147.72205903599973)",Foggy,0
300264,600264,"(64.84507995700051, -147.72205903599973)",Foggy,-16
300265,600265,"(38.89037138500049, -77.03196112699965)",Sunny,21
300266,600266,"(43.62538123900049, -72.51764079099962)",Sunny,11
300267,600267,"(41.56266102000046, -72.64984095199964)",Rainy,-10
300268,600268,"(34.52088095200048, -106.24058098499967)",Sunny,35
300269,600269,"(46.35564873600049, -94.79420050299967)",Snowy,4
300270,600270,"(35.68094058000048, -85.77449091399967)",Sunny,14
300271,600271,"(44.6613195430005, -84.71439026999968)",Snowy,11
300272,600272,"(40.13057004800049, -74.27369128799967)",Sunny,16
300273,600273,"(33.998821303000454, -81.04537120699968)",Sunny,33
300274,600274,"(39.008830667000495, -75.57774116799965)",Rainy,13
300275,600275,"(44.353130053000484, -100.3735306369997)",Sunny,-11
300276,600276,"(44.56744942400047, -120.15503132599969)",Rainy,27
300277,600277,"(39.29058096400047, -76.60926011099963)",Cloudy,8
300278,600278,"(39.493240390000494, -117.07184056399967)",Hot,40
300279,600279,"(41.70828019300046, -71.52247031399963)",Rainy,20
300280,600280,"(40.06021014100048, -82.40426005599966)",Cloudy,18
300281,600281,"(43.682630005000476, -114.3637300419997)",Snowy,-8
300282,600282,"(31.827240407000488, -99.42677020599967)",Humid,20
300283,600283,"(46.355648736, -94.794200503)",Cloudy,-15
300284,600284,"(38.665510202, -80.712640135)",Cloudy,-4
300285,600285,"(31.827240407, -99.426770206)",Humid,33
300286,600286,"(44.567449424, -120.155031326)",Rainy,22
300287,600287,"(18.335765, -64.896335)",Humid,27
300288,600288,"(31.827240407, -99.426770206)",Humid,22
300289,600289,"(45.254228894001, -68.985031336)",Snowy,-4
300290,600290,"(32.84057112200048, -86.63186076199969)",Humid,14
300291,600291,"(32.84057112200048, -86.63186076199969)",Rainy,17
300292,600292,"(45.254228894000505, -68.98503133599962)",Snowy,-15
300293,600293,"(47.47531977900047, -100.11842104899966)",Snowy,2
300294,600294,"(39.008830667000495, -75.57774116799965)",Cloudy,22
300295,600295,"(38.635790776000476, -92.56630005299968)",Sunny,0
300296,600296,"(38.843840757000464, -106.13361092099967)",Snowy,14
300297,600297,"(43.65595011300047, -71.50036091999965)",Snowy,3
300298,600298,"(40.79373015200048, -77.86070029399963)",Sunny,19
300299,600299,"(44.39319117400049, -89.81637074199966)",Sunny,-7
300300,600300,"(40.48501028300046, -88.99771017799969)",Cloudy,-4
300301,600301,"(39.008830667000495, -75.57774116799965)",Sunny,11
300302,600302,"(43.65595011300047, -71.50036091999965)",Snowy,30
300303,600303,"(39.29058096400047, -76.60926011099963)",Rainy,28
300304,600304,"(43.682630005000476, -114.3637300419997)",Sunny,17
300305,600305,"(34.865970280000454, -111.76381127699972)",Dry,44
300306,600306,"(18.220833, -66.590149)",Stormy,32
300307,600307,"(37.542680674, -78.457890463)",Cloudy,6
300308,600308,"(38.843840757000464, -106.13361092099967)",Sunny,27
300309,600309,"(41.56266102000046, -72.64984095199964)",Rainy,29
300310,600310,"(40.48501028300046, -88.99771017799969)",Cloudy,7
300311,600311,"(47.52227862900048, -120.47001078999972)",Foggy,14
300312,600312,"(47.52227862900048, -120.47001078999972)",Cloudy,21
300313,600313,"(43.23554134300048, -108.10983035299967)",Windy,-5
300314,600314,"(32.83968109300048, -83.62758034599966)",Rainy,32
300315,600315,"(37.54268067400045, -78.45789046299967)",Cloudy,4
300316,600316,"(37.63864012300047, -120.99999953799971)",Foggy,21
300317,600317,"(43.65595011300047, -71.50036091999965)",Sunny,8
300318,600318,"(41.56266102000046, -72.64984095199964)",Rainy,26
300319,600319,"(35.68094058000048, -85.77449091399967)",Sunny,1
300320,600320,"(35.68094058000048, -85.77449091399967)",Cloudy,34
300321,600321,"(35.466220975000454, -79.15925046299964)",Rainy,14
300322,600322,"(38.843840757000464, -106.13361092099967)",Snowy,11
300323,600323,"(42.27687047000046, -72.08269067499964)",Cloudy,30
300324,600324,"(39.766910452000445, -86.14996019399968)",Rainy,12
300325,600325,"(42.46940091300047, -93.81649055599968)",Sunny,-9
300326,600326,"(34.865970280000454, -111.76381127699972)",Hot,28
300327,600327,"(39.360700171000474, -111.58713063499971)",Snowy,28
300328,600328,"(37.63864012300047, -120.99999953799971)",Foggy,32
300329,600329,"(34.74865012400045, -92.27449074299966)",Cloudy,11
300330,600330,"(41.70828019300046, -71.52247031399963)",Sunny,27
300331,600331,"(44.39319117400049, -89.81637074199966)",Sunny,-4
300332,600332,"(34.74865012400045, -92.27449074299966)",Sunny,9
300333,600333,"(32.83968109300048, -83.62758034599966)",Rainy,21
300334,600334,"(40.06021014100048, -82.40426005599966)",Sunny,5
300335,600335,"(64.84507995700051, -147.72205903599973)",Foggy,-1
300336,600336,"(18.220833, -66.590149)",Cloudy,31
300337,600337,"(42.82700103200045, -75.54397042699964)",Cloudy,23
300338,600338,"(18.220833, -66.590149)",Cloudy,31
300339,600339,"(32.745510099000455, -89.53803082499968)",Sunny,15
300340,600340,"(44.39319117400049, -89.81637074199966)",Cloudy,11
300341,600341,"(42.46940091300047, -93.81649055599968)",Sunny,19
300342,600342,"(40.48501028300046, -88.99771017799969)",Sunny,-4
300343,600343,"(42.82700103200045, -75.54397042699964)",Cloudy,8
300344,600344,"(47.52227862900048, -120.47001078999972)",Cloudy,19
300345,600345,"(40.79373015200048, -77.86070029399963)",Cloudy,1
300346,600346,"(42.46940091300047, -93.81649055599968)",Rainy,-4
300347,600347,"(45.254228894000505, -68.98503133599962)",Rainy,8
300348,600348,"(64.84507995700051, -147.72205903599973)",Cold,-5
300349,600349,"(41.70828019300046, -71.52247031399963)",Rainy,9
300350,600350,"(32.745510099000455, -89.53803082499968)",Sunny,32
300351,600351,"(13.444304, 144.793731)",Humid,30
300352,600352,"(40.48501028300046, -88.99771017799969)",Rainy,20
300353,600353,"(40.06021014100048, -82.40426005599966)",Rainy,20
300354,600354,"(41.6410409880005, -99.36572062299967)",Cloudy,8
300355,600355,"(39.360700171000474, -111.58713063499971)",Foggy,8
300356,600356,"(32.745510099000455, -89.53803082499968)",Rainy,32
300357,600357,"(41.6410409880005, -99.36572062299967)",Cloudy,16
300358,600358,"(40.13057004800049, -74.27369128799967)",Cloudy,9
300359,600359,"(32.83968109300048, -83.62758034599966)",Sunny,18
300360,600360,"(34.865970280000454, -111.76381127699972)",Sunny,41
300361,600361,"(42.82700103200045, -75.54397042699964)",Sunny,27
300362,600362,"(44.6613195430005, -84.71439026999968)",Cloudy,2
300363,600363,"(39.493240390000494, -117.07184056399967)",Hot,28
300364,600364,"(44.353130053000484, -100.3735306369997)",Sunny,19
300365,600365,"(46.35564873600049, -94.79420050299967)",Snowy,11
300366,600366,"(38.635790776000476, -92.56630005299968)",Sunny,-10
300367,600367,"(39.29058096400047, -76.60926011099963)",Rainy,1
300368,600368,"(43.65595011300047, -71.50036091999965)",Sunny,-14
300369,600369,"(44.6613195430005, -84.71439026999968)",Sunny,7
300370,600370,"(44.6613195430005, -84.71439026999968)",Cloudy,-6
300371,600371,"(43.23554134300048, -108.10983035299967)",Cloudy,5
300372,600372,"(42.27687047000046, -72.08269067499964)",Snowy,20
300373,600373,"(47.47531977900047, -100.11842104899966)",Sunny,16
300374,600374,"(39.008830667000495, -75.57774116799965)",Cloudy,2
300375,600375,"(37.54268067400045, -78.45789046299967)",Cloudy,7
300376,600376,"(40.79373015200048, -77.86070029399963)",Snowy,27
300377,600377,"(38.635790776000476, -92.56630005299968)",Rainy,21
300378,600378,"(38.66551020200046, -80.71264013499967)",Sunny,13
300379,600379,"(31.827240407000488, -99.42677020599967)",Sunny,39
300380,600380,"(21.304850435000446, -157.85774940299973)",Sunny,28
300381,600381,"(39.360700171000474, -111.58713063499971)",Sunny,4
300382,600382,"(42.27687047000046, -72.08269067499964)",Snowy,-3
300383,600383,"(47.47531977900047, -100.11842104899966)",Cold,8
300384,600384,"(28.932040377000476, -81.92896053899966)",Sunny,39
300385,600385,"(34.52088095200048, -106.24058098499967)",Sunny,16
300386,600386,"(35.466220975000454, -79.15925046299964)",Sunny,4
300387,600387,"(39.360700171000474, -111.58713063499971)",Sunny,12
300388,600388,"(38.635790776000476, -92.56630005299968)",Cloudy,21
300389,600389,"(47.47531977900047, -100.11842104899966)",Sunny,-5
300390,600390,"(37.63864012300047, -120.99999953799971)",Foggy,29
300391,600391,"(44.353130053000484, -100.3735306369997)",Snowy,-9
300392,600392,"(39.493240390000494, -117.07184056399967)",Dry,35
300393,600393,"(31.31266064400046, -92.44568007099969)",Rainy,31
300394,600394,"(43.65595011300047, -71.50036091999965)",Sunny,-13
300395,600395,"(43.65595011300047, -71.50036091999965)",Rainy,16
300396,600396,"(38.34774030000045, -98.20078122699965)",Rainy,2
300397,600397,"(38.89037138500049, -77.03196112699965)",Rainy,22
300398,600398,"(44.353130053000484, -100.3735306369997)",Cloudy,14
300399,600399,"(44.6613195430005, -84.71439026999968)",Rainy,8
300400,600400,"(37.63864012300047, -120.99999953799971)",Foggy,25
300401,600401,"(13.444304, 144.793731)",Cloudy,29
300402,600402,"(40.06021014100048, -82.40426005599966)",Cloudy,-10
300403,600403,"(42.46940091300047, -93.81649055599968)",Rainy,16
300404,600404,"(37.645970271000465, -84.77497104799966)",Sunny,15
300405,600405,"(37.63864012300047, -120.99999953799971)",Cloudy,18
300406,600406,"(18.220833, -66.590149)",Cloudy,29
300407,600407,"(44.353130053000484, -100.3735306369997)",Sunny,22
300408,600408,"(38.843840757000464, -106.13361092099967)",Rainy,33
300409,600409,"(33.998821303000454, -81.04537120699968)",Humid,24
300410,600410,"(44.6613195430005, -84.71439026999968)",Cloudy,-6
300411,600411,"(42.82700103200045, -75.54397042699964)",Rainy,30
300412,600412,"(38.34774030000045, -98.20078122699965)",Cloudy,-1
300413,600413,"(34.74865012400045, -92.27449074299966)",Cloudy,14
300414,600414,"(42.27687047000046, -72.08269067499964)",Rainy,9
300415,600415,"(42.82700103200045, -75.54397042699964)",Rainy,22
300416,600416,"(41.6410409880005, -99.36572062299967)",Cloudy,24
300417,600417,"(37.63864012300047, -120.99999953799971)",Sunny,15
300418,600418,"(45.254228894000505, -68.98503133599962)",Rainy,-12
300419,600419,"(39.493240390000494, -117.07184056399967)",Sunny,35
300420,600420,"(45.254228894000505, -68.98503133599962)",Rainy,-17
300421,600421,"(37.54268067400045, -78.45789046299967)",Cloudy,30
300422,600422,"(13.444304, 144.793731)",Sunny,29
300423,600423,"(31.31266064400046, -92.44568007099969)",Rainy,20
300424,600424,"(32.83968109300048, -83.62758034599966)",Sunny,19
300425,600425,"(43.62538123900049, -72.51764079099962)",Snowy,-5
300426,600426,"(32.745510099000455, -89.53803082499968)",Humid,19
300427,600427,"(46.35564873600049, -94.79420050299967)",Cloudy,4
300428,600428,"(47.06652897200047, -109.42442064499971)",Sunny,16
300429,600429,"(35.47203135600046, -97.52107021399968)",Stormy,11
300430,600430,"(35.466220975000454, -79.15925046299964)",Rainy,4
300431,600431,"(41.70828019300046, -71.52247031399963)",Cloudy,22
300432,600432,"(41.56266102000046, -72.64984095199964)",Rainy,17
300433,600433,"(38.66551020200046, -80.71264013499967)",Rainy,-2
