Survey_ID,Class,Question,D_Value,L_Confidence,H_Confidence,P_ID
500059,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.9,30.1,48.5,159
500060,Physical Activity,Percent of adults who engage in no leisure-time physical activity,46.2,35.6,57,160
500061,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.6,27.3,40.6,161
500062,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,34.6,27.6,42.3,162
500063,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),37.6,30.4,45.3,163
500064,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.4,29.5,37.5,164
500065,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,41.4,37,45.9,165
500066,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,40.9,34.2,48,166
500067,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.6,26.9,38.9,167
500068,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,28.9,23.3,35.3,168
500069,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.8,29.4,36.3,169
500070,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.1,31.7,45,170
500071,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.4,26.5,47.5,171
500072,Physical Activity,Percent of adults who engage in no leisure-time physical activity,31.6,25.5,38.5,172
500073,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.9,29.6,40.6,173
500074,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.8,30.3,39.6,174
500075,Physical Activity,Percent of adults who engage in no leisure-time physical activity,27.1,22.9,31.7,175
500076,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.4,30.6,36.5,176
500077,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.5,27.4,38.1,177
500078,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.9,31.5,38.4,178
500079,Physical Activity,Percent of adults who engage in no leisure-time physical activity,29.7,24.6,35.2,179
500080,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37,33.3,40.8,180
500081,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.9,25,46.2,181
500082,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.6,29.9,37.4,182
500083,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,28.2,21.6,35.9,183
500084,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.5,30.2,37,184
500085,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.6,34,43.3,185
500086,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,28.1,22.1,34.8,186
500087,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.1,28.6,37.8,187
500088,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.4,26.3,32.6,188
500089,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,27.5,23.3,32.1,189
500090,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.9,29.5,38.5,190
500091,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,29.8,24.3,35.9,191
500092,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,41.3,32.2,51.1,192
500093,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.9,19.2,33.8,193
500094,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35,31.5,38.7,194
500095,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.9,32.3,39.6,195
500096,Physical Activity,Percent of adults who engage in no leisure-time physical activity,30.8,26.4,35.6,196
500097,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.4,36.4,40.5,197
500098,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.8,27.9,38,198
500099,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34,30.7,37.4,199
500100,Physical Activity,Percent of adults who engage in no leisure-time physical activity,27.9,24.1,32.1,200
500101,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.7,32.9,40.5,201
500102,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.4,23.6,42.6,202
500103,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.6,28.1,35.4,203
500104,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36,28.6,44.1,204
500105,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30,27.1,33,205
500106,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.4,31.8,41.3,206
500107,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.7,26.7,39.3,207
500108,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.8,20.2,39.3,208
500109,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.8,25.8,34.2,209
500110,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.3,30.1,38.6,210
500111,Physical Activity,Percent of adults who engage in no leisure-time physical activity,29,23.1,35.7,211
500112,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.2,29.9,36.7,212
500113,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38,32.5,43.7,213
500114,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,39.7,34.6,45,214
500115,Physical Activity,Percent of adults who engage in no leisure-time physical activity,13.7,12.5,14.9,215
500116,Physical Activity,Percent of adults who engage in no leisure-time physical activity,21.2,18.8,23.8,216
500117,Fruits and Vegetables,Percent of adults who report consuming fruit less than one time daily,45.9,40,51.9,217
500118,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.3,24.5,50,218
500119,Physical Activity,Percent of adults who engage in no leisure-time physical activity,32.3,29.2,35.5,219
500120,Physical Activity,Percent of adults who engage in no leisure-time physical activity,28.6,24.5,33,220
500121,Physical Activity,Percent of adults who engage in no leisure-time physical activity,28,24.9,31.4,221
500122,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.6,25.9,37.9,222
500123,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,25.2,20.1,31.2,223
500124,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.1,30.5,40.1,224
500125,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,21.9,17.5,27.1,225
500126,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.9,27.5,43.1,226
500127,Physical Activity,Percent of adults who engage in no leisure-time physical activity,36.5,28.8,45,227
500128,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.1,31.5,45.3,228
500129,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,39.4,33.4,45.8,229
500130,Physical Activity,Percent of adults who engage in no leisure-time physical activity,24.4,19.9,29.6,230
500131,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32,25.3,39.5,231
500132,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,21.8,15.3,29.9,232
500133,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.3,36.8,39.8,233
500134,Physical Activity,Percent of adults who engage in no leisure-time physical activity,27.5,23.3,32.2,234
500135,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.1,21.3,27.2,235
500136,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.1,24.3,30,236
500137,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,20.9,19.2,22.6,237
500138,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,41.7,37,46.5,238
500139,Physical Activity,Percent of adults who engage in no leisure-time physical activity,26.9,20.8,33.9,239
500140,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.8,29.9,40.1,240
500141,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,21.8,18.4,25.7,241
500142,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.2,21.2,27.4,242
500143,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.1,33.5,42.9,243
500144,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.7,25,28.5,244
500145,Physical Activity,Percent of adults who engage in no leisure-time physical activity,27.4,22.8,32.6,245
500146,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.9,25.7,32.3,246
500147,Physical Activity,Percent of adults who engage in no leisure-time physical activity,48.4,43.6,53.3,247
500148,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.1,32.3,38,248
500149,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.7,30.3,43.7,249
500150,Physical Activity,Percent of adults who engage in no leisure-time physical activity,14.6,11.9,17.7,250
500151,Physical Activity,Percent of adults who engage in no leisure-time physical activity,13.1,11.3,15.1,251
500152,Physical Activity,Percent of adults who engage in no leisure-time physical activity,38.6,27.9,50.4,252
500153,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,29.5,24.3,35.3,253
500154,Physical Activity,Percent of adults who engage in no leisure-time physical activity,26.8,21.6,32.8,254
500155,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.3,29.2,37.5,255
500156,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.9,28,38.2,256
500157,Physical Activity,Percent of adults who engage in no leisure-time physical activity,32.1,29,35.4,257
500158,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.6,22.6,28.9,258
500159,Physical Activity,Percent of adults who engage in no leisure-time physical activity,41.8,37.2,46.5,259
500160,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.5,30.6,38.5,260
500161,Physical Activity,Percent of adults who engage in no leisure-time physical activity,53.6,50.3,56.8,261
500162,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.4,30.4,42.8,262
500163,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.9,31.4,40.7,263
500164,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.3,33.7,43.1,264
500165,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,37.7,33,42.6,265
500166,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,37.8,34,41.7,266
500167,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.2,28.7,38,267
500168,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,30.5,27.4,33.9,268
500169,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,27.8,23.9,32.2,269
500170,Physical Activity,Percent of adults who engage in no leisure-time physical activity,22.3,18,27.4,270
500171,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.1,30.1,40.4,271
500172,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.5,24.6,30.6,272
500173,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,30,25.4,35,273
500174,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.6,22.3,35.8,274
500175,Physical Activity,Percent of adults who engage in no leisure-time physical activity,30.7,26.6,35.1,275
500176,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.6,25.3,34.3,276
500177,Physical Activity,Percent of adults who engage in no leisure-time physical activity,24.9,20.2,30.3,277
500178,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.5,22.8,30.6,278
500179,Physical Activity,Percent of adults who engage in no leisure-time physical activity,31.1,28.6,33.7,279
500180,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.9,26.8,37.4,280
500181,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,15.6,13.6,17.8,281
500182,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.2,34.9,41.4,282
500183,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,26.5,20.1,34.1,283
500184,Physical Activity,Percent of adults who engage in no leisure-time physical activity,38.3,34.5,42.3,284
500185,Physical Activity,Percent of adults who engage in no leisure-time physical activity,37.6,33,42.4,285
500186,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.1,32.7,43.8,286
500187,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.2,27.7,43.6,287
500188,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,40.6,34.8,46.7,288
500189,Physical Activity,Percent of adults who engage in no leisure-time physical activity,31.6,27,36.4,289
500190,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.4,25,32.1,290
500191,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.2,32.3,38.2,291
500192,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.4,23.9,35.5,292
500193,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.6,33.9,43.6,293
500194,Physical Activity,Percent of adults who engage in no leisure-time physical activity,35.4,31.8,39.2,294
500195,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.7,32.1,41.6,295
500196,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,27.8,23.2,33,296
500197,Physical Activity,Percent of adults who engage in no leisure-time physical activity,20.4,17.1,24.3,297
500198,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,41.3,36.4,46.3,298
500199,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.6,35.5,39.7,299
500200,Physical Activity,Percent of adults who engage in no leisure-time physical activity,23.9,20.5,27.8,300
500201,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,29.5,26,33.2,301
500202,Physical Activity,Percent of adults who engage in no leisure-time physical activity,35.5,31.2,40.1,302
500203,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28,25.1,31.1,303
500204,Physical Activity,Percent of adults who engage in no leisure-time physical activity,44.4,38.4,50.6,304
500205,Physical Activity,Percent of adults who engage in no leisure-time physical activity,21.4,17.4,26,305
500206,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.3,23.9,41.9,306
500207,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.4,36.3,40.4,307
500208,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.4,29.3,35.7,308
500209,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.4,23.1,41,309
500210,Physical Activity,Percent of adults who engage in no leisure-time physical activity,33.3,30.2,36.5,310
500211,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.9,27.4,34.5,311
500212,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.4,28.9,38.3,312
500213,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.7,28.5,35.1,313
500214,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.2,26.7,34.1,314
500215,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,44,40,48.1,315
500216,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.9,24.8,42.2,316
500217,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.5,16.3,32.5,317
500218,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.1,29.4,34.8,318
500219,Physical Activity,Percent of adults who engage in no leisure-time physical activity,24.6,20.7,28.9,319
500220,Physical Activity,Percent of adults who engage in no leisure-time physical activity,31.3,24.3,39.3,320
500221,Physical Activity,Percent of adults who engage in no leisure-time physical activity,32.5,28.6,36.6,321
500222,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.7,24.6,39.7,322
500223,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.8,28.5,41.5,323
500224,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,26.8,22.5,31.6,324
500225,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,28.1,22.3,34.8,325
500226,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34,29,39.4,326
500227,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,39.2,35.7,42.8,327
500228,Physical Activity,Percent of adults who engage in no leisure-time physical activity,16.7,12.2,22.4,328
500229,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31,25.9,36.7,329
500230,Physical Activity,Percent of adults who engage in no leisure-time physical activity,13.3,11.4,15.3,330
500231,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.5,28,37.4,331
500232,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.9,33.8,40.1,332
500233,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.9,23.6,32.5,333
500234,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.7,27.9,37.9,334
500235,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.2,27.1,42.1,335
500236,Physical Activity,Percent of adults who engage in no leisure-time physical activity,39.3,34.6,44.2,336
500237,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.2,27.6,35.1,337
500238,Physical Activity,Percent of adults who engage in no leisure-time physical activity,42.9,35.6,50.4,338
500239,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.9,23.1,31.2,339
500240,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.9,30.4,39.8,340
500241,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.4,26,37.3,341
500242,Physical Activity,Percent of adults who engage in no leisure-time physical activity,28.7,24.2,33.6,342
500243,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.5,22.1,31.3,343
500244,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.6,25.7,36,344
500245,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.9,27.3,39,345
500246,Physical Activity,Percent of adults who engage in no leisure-time physical activity,23.5,21,26.1,346
500247,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.4,29.9,43.4,347
500248,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.6,27.1,36.6,348
500249,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35,31.1,39.2,349
500250,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.4,28.8,38.3,350
500251,Physical Activity,Percent of adults who engage in no leisure-time physical activity,11.5,10.6,12.6,351
500252,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.3,36,40.5,352
500253,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.5,22.3,26.7,353
500254,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.6,32,41.5,354
500255,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.5,30,41.4,355
500256,Physical Activity,Percent of adults who engage in no leisure-time physical activity,26.4,23.7,29.3,356
500257,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.5,28.7,45.2,357
500258,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.3,22.1,33.3,358
500259,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37,34.6,39.5,359
500260,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.3,33,39.8,360
500261,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.4,30.2,40.9,361
500262,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.8,26.3,37.8,362
500263,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.1,18.8,32.8,363
500264,Physical Activity,Percent of adults who engage in no leisure-time physical activity,13.9,10.9,17.6,364
500265,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.6,29.8,35.5,365
500266,Physical Activity,Percent of adults who engage in no leisure-time physical activity,10.7,8.8,12.8,366
500267,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.9,26.1,33.9,367
500268,Physical Activity,Percent of adults who engage in no leisure-time physical activity,14.2,11.4,17.6,368
500269,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.7,22.3,27.2,369
500270,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.4,30.2,41,370
500271,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.5,29.5,37.7,371
500272,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.3,31.9,40.9,372
500273,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.6,28.2,35.1,373
500274,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,30.2,25.8,34.9,374
500275,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.2,25.2,38,375
500276,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.5,29.2,38,376
500277,Physical Activity,Percent of adults who engage in no leisure-time physical activity,12.4,11.3,13.5,377
500278,Physical Activity,Percent of adults who engage in no leisure-time physical activity,18.2,13.4,24.1,378
500279,Physical Activity,Percent of adults who engage in no leisure-time physical activity,42.9,37.7,48.1,379
500280,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.2,29.2,37.4,380
500281,Physical Activity,Percent of adults who engage in no leisure-time physical activity,15.1,11.5,19.6,381
