D_ID,P_ID,Ethnicity,Income
150120,220,Asian,"$35,000 - $49,999"
150121,221,Other,Unemployed
150122,222,White,"Less than $15,000"
150123,223,Pacific Islander,"Less than $15,000"
150124,224,Hispanic,"$15,000 - $24,999"
150125,225,Native American,"Less than $15,000"
150126,226,Native American,"$25,000 - $34,999"
150127,227,Hispanic,"Less than $15,000"
150128,228,White,"$25,000 - $34,999"
150129,229,White,"$25,000 - $34,999"
150130,230,Native American,"$35,000 - $49,999"
150131,231,Asian,"$25,000 - $34,999"
150132,232,Pacific Islander,Unemployed
150133,233,Hispanic,"$75,000 or greater"
150134,234,White,"$35,000 - $49,999"
150135,235,Pacific Islander,Unemployed
150136,236,Black,"$75,000 or greater"
150137,237,White,"$75,000 or greater"
150138,238,Pacific Islander,"Less than $15,000"
150139,239,Pacific Islander,"Less than $15,000"
150140,240,White,"$15,000 - $24,999"
150141,241,White,"$35,000 - $49,999"
150142,242,Native American,Unemployed
150143,243,Hispanic,"$50,000 - $74,999"
150144,244,White,"$75,000 or greater"
150145,245,Hispanic,Unemployed
150146,246,White,"$75,000 or greater"
150147,247,Black,"Less than $15,000"
150148,248,Native American,"$50,000 - $74,999"
150149,249,White,"$35,000 - $49,999"
150150,250,Other,"$75,000 or greater"
150151,251,Other,"$75,000 or greater"
150152,252,White,"Less than $15,000"
150153,253,Asian,"$25,000 - $34,999"
150154,254,Asian,"$25,000 - $34,999"
150155,255,Pacific Islander,"$35,000 - $49,999"
150156,256,Black,Unemployed
150157,257,Hispanic,"$15,000 - $24,999"
150158,258,Hispanic,"$35,000 - $49,999"
150159,259,Native American,"Less than $15,000"
150160,260,Other,"$25,000 - $34,999"
150161,261,Other,"Less than $15,000"
150162,262,Hispanic,"$25,000 - $34,999"
150163,263,Asian,"$35,000 - $49,999"
150164,264,Pacific Islander,"$15,000 - $24,999"
150165,265,White,"$35,000 - $49,999"
150166,266,Pacific Islander,"$75,000 or greater"
150167,267,Native American,"$35,000 - $49,999"
150168,268,Black,"$15,000 - $24,999"
150169,269,Other,Unemployed
150170,270,White,"$25,000 - $34,999"
150171,271,Pacific Islander,"$35,000 - $49,999"
150172,272,Other,"$75,000 or greater"
150173,273,Black,"$15,000 - $24,999"
150174,274,White,"$50,000 - $74,999"
150175,275,Native American,"$25,000 - $34,999"
150176,276,Black,"$50,000 - $74,999"
150177,277,Hispanic,"$25,000 - $34,999"
150178,278,Hispanic,"$75,000 or greater"
150179,279,Black,"$15,000 - $24,999"
150180,280,Asian,Unemployed
150181,281,Pacific Islander,"$75,000 or greater"
150182,282,Black,"$75,000 or greater"
150183,283,White,"Less than $15,000"
150184,284,Asian,"$15,000 - $24,999"
150185,285,Black,Unemployed
150186,286,Asian,"$15,000 - $24,999"
150187,287,Other,"Less than $15,000"
150188,288,Pacific Islander,"$15,000 - $24,999"
150189,289,Pacific Islander,Unemployed
150190,290,White,"$15,000 - $24,999"
150191,291,Hispanic,"$75,000 or greater"
150192,292,Black,"Less than $15,000"
150193,293,Native American,"$50,000 - $74,999"
150194,294,Black,Unemployed
150195,295,Black,"$35,000 - $49,999"
150196,296,Asian,"Less than $15,000"
150197,297,Native American,"$50,000 - $74,999"
150198,298,Pacific Islander,"$15,000 - $24,999"
150199,299,Hispanic,"$75,000 or greater"
150200,300,Asian,Unemployed
150201,301,Other,"$15,000 - $24,999"
150202,302,Native American,"Less than $15,000"
150203,303,Hispanic,Unemployed
150204,304,Hispanic,"Less than $15,000"
150205,305,Asian,"$35,000 - $49,999"
150206,306,White,"$25,000 - $34,999"
150207,307,White,"$75,000 or greater"
150208,308,White,"$15,000 - $24,999"
150209,309,White,Unemployed
150210,310,Other,"$15,000 - $24,999"
150211,311,Pacific Islander,"$35,000 - $49,999"
150212,312,Pacific Islander,"$50,000 - $74,999"
150213,313,Hispanic,Unemployed
150214,314,Pacific Islander,"$50,000 - $74,999"
150215,315,White,"$15,000 - $24,999"
150216,316,Other,"$35,000 - $49,999"
150217,317,White,"$25,000 - $34,999"
150218,318,Hispanic,"$15,000 - $24,999"
150219,319,Asian,"$25,000 - $34,999"
150220,320,Black,"Less than $15,000"
150221,321,Pacific Islander,Unemployed
150222,322,Native American,"$25,000 - $34,999"
150223,323,Asian,"$25,000 - $34,999"
150224,324,White,"Less than $15,000"
150225,325,Native American,Unemployed
150226,326,Other,"$25,000 - $34,999"
150227,327,Hispanic,"$15,000 - $24,999"
150228,328,Native American,"$75,000 or greater"
150229,329,Asian,"$15,000 - $24,999"
150230,330,Other,"$50,000 - $74,999"
150231,331,Black,"$35,000 - $49,999"
150232,332,Pacific Islander,"$75,000 or greater"
150233,333,Pacific Islander,"$75,000 or greater"
150234,334,Native American,"$25,000 - $34,999"
150235,335,Hispanic,"Less than $15,000"
150236,336,Asian,"$15,000 - $24,999"
150237,337,Hispanic,"$35,000 - $49,999"
150238,338,Other,"Less than $15,000"
150239,339,Pacific Islander,"$50,000 - $74,999"
150240,340,Black,"Less than $15,000"
150241,341,Hispanic,"$25,000 - $34,999"
150242,342,Hispanic,"$25,000 - $34,999"
150243,343,Hispanic,"$15,000 - $24,999"
150244,344,Hispanic,Unemployed
150245,345,Black,"$15,000 - $24,999"
150246,346,Pacific Islander,Unemployed
150247,347,Hispanic,"$35,000 - $49,999"
150248,348,Native American,"$25,000 - $34,999"
150249,349,White,"$25,000 - $34,999"
150250,350,Hispanic,"$15,000 - $24,999"
150251,351,Hispanic,"$75,000 or greater"
150252,352,Pacific Islander,"$75,000 or greater"
150253,353,White,"$75,000 or greater"
150254,354,White,"$25,000 - $34,999"
150255,355,Hispanic,"Less than $15,000"
150256,356,Asian,Unemployed
150257,357,Asian,"Less than $15,000"
150258,358,Other,"$25,000 - $34,999"
150259,359,Native American,"$75,000 or greater"
150260,360,White,"$75,000 or greater"
150261,361,Hispanic,"$25,000 - $34,999"
150262,362,Black,"$25,000 - $34,999"
150263,363,White,"$50,000 - $74,999"
150264,364,White,"$75,000 or greater"
150265,365,Black,"$75,000 or greater"
150266,366,Hispanic,"$75,000 or greater"
150267,367,Black,"$15,000 - $24,999"
150268,368,Native American,"$50,000 - $74,999"
150269,369,Pacific Islander,Unemployed
150270,370,Native American,Unemployed
150271,371,White,"$25,000 - $34,999"
150272,372,Black,"$75,000 or greater"
150273,373,Black,Unemployed
150274,374,Other,Unemployed
150275,375,White,"$15,000 - $24,999"
150276,376,Asian,"$35,000 - $49,999"
150277,377,Black,"$75,000 or greater"
150278,378,Native American,"$50,000 - $74,999"
150279,379,White,"$15,000 - $24,999"
150280,380,Asian,"$25,000 - $34,999"
150281,381,Hispanic,"$50,000 - $74,999"
150282,382,White,"$15,000 - $24,999"
150283,383,Black,"$50,000 - $74,999"
150284,384,Black,"$75,000 or greater"
150285,385,Other,"$50,000 - $74,999"
150286,386,White,"$50,000 - $74,999"
150287,387,White,"$35,000 - $49,999"
150288,388,Asian,"$25,000 - $34,999"
150289,389,Other,"$25,000 - $34,999"
150290,390,White,"$50,000 - $74,999"
150291,391,Hispanic,"Less than $15,000"
150292,392,White,"Less than $15,000"
150293,393,Other,"$25,000 - $34,999"
150294,394,Other,"$25,000 - $34,999"
150295,395,White,"$25,000 - $34,999"
150296,396,White,"$15,000 - $24,999"
150297,397,Black,"$75,000 or greater"
150298,398,Asian,"$50,000 - $74,999"
150299,399,White,"$15,000 - $24,999"
150300,400,Other,"$25,000 - $34,999"
150301,401,Asian,Unemployed
150302,402,Pacific Islander,"$25,000 - $34,999"
150303,403,Other,"Less than $15,000"
150304,404,Hispanic,"$25,000 - $34,999"
150305,405,White,"$75,000 or greater"
150306,406,Other,"$75,000 or greater"
150307,407,Native American,"$25,000 - $34,999"
150308,408,Asian,"Less than $15,000"
150309,409,Hispanic,Unemployed
150310,410,Pacific Islander,"$50,000 - $74,999"
150311,411,Other,"Less than $15,000"
150312,412,White,"$50,000 - $74,999"
150313,413,White,"$50,000 - $74,999"
150314,414,Pacific Islander,"Less than $15,000"
150315,415,Pacific Islander,"$75,000 or greater"
150316,416,Pacific Islander,Unemployed
150317,417,Native American,"Less than $15,000"
150318,418,White,Unemployed
150319,419,Pacific Islander,"$75,000 or greater"
150320,420,White,"$25,000 - $34,999"
150321,421,Black,"Less than $15,000"
150322,422,Pacific Islander,Unemployed
150323,423,Hispanic,Unemployed
150324,424,White,"$50,000 - $74,999"
150325,425,Black,"$25,000 - $34,999"
150326,426,Black,"$75,000 or greater"
150327,427,Native American,"$15,000 - $24,999"
150328,428,Other,"$15,000 - $24,999"
150329,429,White,"$15,000 - $24,999"
150330,430,Native American,"$35,000 - $49,999"
150331,431,Native American,"$35,000 - $49,999"
150332,432,Hispanic,"$75,000 or greater"
150333,433,Other,Unemployed
150334,434,Native American,"$25,000 - $34,999"
150335,435,Other,"Less than $15,000"
150336,436,Asian,"$75,000 or greater"
150337,437,Black,"Less than $15,000"
150338,438,Native American,"$35,000 - $49,999"
150339,439,Hispanic,Unemployed
150340,440,Native American,"$25,000 - $34,999"
150341,441,White,"$75,000 or greater"
150342,442,Hispanic,"$75,000 or greater"
150343,443,Native American,"$25,000 - $34,999"
150344,444,Pacific Islander,Unemployed
150345,445,Hispanic,"$50,000 - $74,999"
150346,446,Black,"$35,000 - $49,999"
150347,447,Asian,"$50,000 - $74,999"
150348,448,Black,"$15,000 - $24,999"
150349,449,Hispanic,"$75,000 or greater"
150350,450,Black,"$15,000 - $24,999"
150351,451,Asian,"$35,000 - $49,999"
150352,452,Other,"$50,000 - $74,999"
150353,453,Asian,"$75,000 or greater"
150354,454,Asian,"$15,000 - $24,999"
150355,455,White,"$25,000 - $34,999"
150356,456,Native American,Unemployed
150357,457,Native American,"$75,000 or greater"
150358,458,White,"$25,000 - $34,999"
150359,459,Pacific Islander,"$25,000 - $34,999"
150360,460,Asian,"Less than $15,000"
150361,461,Native American,"$75,000 or greater"
150362,462,Pacific Islander,"Less than $15,000"
150363,463,Asian,Unemployed
150364,464,Hispanic,Unemployed
150365,465,Other,"$15,000 - $24,999"
150366,466,White,"$15,000 - $24,999"
150367,467,Asian,"$15,000 - $24,999"
150368,468,Hispanic,"$15,000 - $24,999"
150369,469,Pacific Islander,"$75,000 or greater"
150370,470,White,"$15,000 - $24,999"
150371,471,White,"$50,000 - $74,999"
150372,472,White,"$15,000 - $24,999"
150373,473,Hispanic,"Less than $15,000"
150374,474,White,"$25,000 - $34,999"
150375,475,Black,"$75,000 or greater"
150376,476,Asian,"Less than $15,000"
150377,477,Pacific Islander,Unemployed
150378,478,White,"$75,000 or greater"
150379,479,Hispanic,Unemployed
150380,480,Hispanic,Unemployed
150381,481,Hispanic,"$25,000 - $34,999"
150382,482,Black,"Less than $15,000"
150383,483,White,"$75,000 or greater"
150384,484,Native American,"$15,000 - $24,999"
150385,485,White,"$15,000 - $24,999"
150386,486,White,"$50,000 - $74,999"
150387,487,Asian,Unemployed
150388,488,Asian,Unemployed
150389,489,Asian,"$35,000 - $49,999"
150390,490,Other,"$15,000 - $24,999"
150391,491,Other,"$15,000 - $24,999"
150392,492,Hispanic,"Less than $15,000"
150393,493,White,"$35,000 - $49,999"
150394,494,Other,"$50,000 - $74,999"
150395,495,Native American,Unemployed
150396,496,White,"$25,000 - $34,999"
150397,497,Other,"$35,000 - $49,999"
150398,498,Native American,Unemployed
150399,499,Black,Unemployed
150400,500,Hispanic,"$75,000 or greater"
150401,501,Native American,"Less than $15,000"
150402,502,Asian,"$35,000 - $49,999"
150403,503,Hispanic,"$15,000 - $24,999"
150404,504,Other,Unemployed
150405,505,Native American,"$50,000 - $74,999"
150406,506,Native American,"$25,000 - $34,999"
150407,507,Asian,Unemployed
150408,508,Native American,"$75,000 or greater"
150409,509,Asian,"$25,000 - $34,999"
150410,510,Other,"$75,000 or greater"
150411,511,Asian,"$50,000 - $74,999"
150412,512,Hispanic,"$50,000 - $74,999"
150413,513,Hispanic,"$75,000 or greater"
150414,514,Pacific Islander,"$15,000 - $24,999"
150415,515,Other,"$35,000 - $49,999"
150416,516,White,Unemployed
150417,517,Native American,"Less than $15,000"
150418,518,Asian,"$75,000 or greater"
150419,519,Other,"$35,000 - $49,999"
150420,520,Other,"Less than $15,000"
150421,521,Pacific Islander,"$35,000 - $49,999"
150422,522,Pacific Islander,"Less than $15,000"
150423,523,Asian,"$25,000 - $34,999"
150424,524,Native American,"$35,000 - $49,999"
150425,525,Native American,"$35,000 - $49,999"
150426,526,Pacific Islander,"$25,000 - $34,999"
150427,527,Asian,Unemployed
150428,528,Pacific Islander,"Less than $15,000"
150429,529,Asian,"$25,000 - $34,999"
150430,530,Native American,"Less than $15,000"
150431,531,Other,"$25,000 - $34,999"
150432,532,Other,"$15,000 - $24,999"
150433,533,Black,"$50,000 - $74,999"
150434,534,Black,"Less than $15,000"
150435,535,Native American,"$15,000 - $24,999"
150436,536,Hispanic,"$25,000 - $34,999"
150437,537,Black,"$50,000 - $74,999"
150438,538,Asian,"$50,000 - $74,999"
150439,539,Pacific Islander,"$35,000 - $49,999"
150440,540,Hispanic,"$35,000 - $49,999"
150441,541,Black,"Less than $15,000"
150442,542,Hispanic,"$75,000 or greater"
150443,543,Asian,"Less than $15,000"
150444,544,Other,"$35,000 - $49,999"
150445,545,Hispanic,"Less than $15,000"
150446,546,Hispanic,"$50,000 - $74,999"
150447,547,Hispanic,"$15,000 - $24,999"
150448,548,Hispanic,"$75,000 or greater"
150449,549,Pacific Islander,"$50,000 - $74,999"
150450,550,Other,"$15,000 - $24,999"
150451,551,Asian,"$25,000 - $34,999"
150452,552,Other,"$75,000 or greater"
150453,553,White,"$15,000 - $24,999"
150454,554,Native American,"$25,000 - $34,999"
150455,555,Hispanic,"$50,000 - $74,999"
150456,556,White,"$25,000 - $34,999"
150457,557,Native American,"Less than $15,000"
150458,558,Pacific Islander,Unemployed
150459,559,Pacific Islander,"$75,000 or greater"
150460,560,White,"$25,000 - $34,999"
150461,561,White,"$35,000 - $49,999"
150462,562,Asian,Unemployed
150463,563,Native American,"$75,000 or greater"
150464,564,Black,"$50,000 - $74,999"
150465,565,Other,"$75,000 or greater"
150466,566,Black,Unemployed
150467,567,Black,"$75,000 or greater"
150468,568,Pacific Islander,"$35,000 - $49,999"
150469,569,Hispanic,"$35,000 - $49,999"
150470,570,Native American,"$35,000 - $49,999"
150471,571,Pacific Islander,"$15,000 - $24,999"
150472,572,Native American,"$50,000 - $74,999"
150473,573,Hispanic,"$35,000 - $49,999"
150474,574,Asian,"$15,000 - $24,999"
150475,575,Other,"$25,000 - $34,999"
150476,576,Native American,"$35,000 - $49,999"
150477,577,Other,"Less than $15,000"
150478,578,Pacific Islander,"$35,000 - $49,999"
150479,579,Asian,"$35,000 - $49,999"
150480,580,Hispanic,"$75,000 or greater"
150481,581,Other,Unemployed
150482,582,Native American,"Less than $15,000"
150483,583,Other,"$50,000 - $74,999"
150484,584,Asian,"$50,000 - $74,999"
150485,585,Pacific Islander,"$25,000 - $34,999"
150486,586,Other,"$75,000 or greater"
150487,587,White,"$75,000 or greater"
150488,588,White,"$50,000 - $74,999"
150489,589,Hispanic,"$15,000 - $24,999"
150490,590,White,"$50,000 - $74,999"
150491,591,Black,"$50,000 - $74,999"
150492,592,Asian,"$15,000 - $24,999"
150493,593,Hispanic,"$75,000 or greater"
150494,594,Hispanic,"Less than $15,000"
150495,595,Hispanic,"$15,000 - $24,999"
150496,596,Pacific Islander,"$50,000 - $74,999"
150497,597,Hispanic,Unemployed
150498,598,Pacific Islander,"Less than $15,000"
150499,599,Black,"$25,000 - $34,999"
150500,600,Other,"$25,000 - $34,999"
150501,601,Hispanic,"$35,000 - $49,999"
150502,602,Pacific Islander,"$25,000 - $34,999"
150503,603,Other,"$50,000 - $74,999"
150504,604,Hispanic,"Less than $15,000"
150505,605,Hispanic,"$35,000 - $49,999"
150506,606,Hispanic,"$50,000 - $74,999"
150507,607,Hispanic,"$15,000 - $24,999"
150508,608,White,"$15,000 - $24,999"
150509,609,Pacific Islander,"$35,000 - $49,999"
150510,610,Hispanic,"$15,000 - $24,999"
150511,611,Black,"$25,000 - $34,999"
150512,612,Pacific Islander,"Less than $15,000"
150513,613,Asian,"$25,000 - $34,999"
150514,614,Pacific Islander,"$35,000 - $49,999"
150515,615,Asian,"$35,000 - $49,999"
150516,616,Hispanic,"$75,000 or greater"
150517,617,Hispanic,"$75,000 or greater"
150518,618,Asian,"$75,000 or greater"
150519,619,Pacific Islander,"Less than $15,000"
150520,620,Black,Unemployed
150521,621,Asian,"Less than $15,000"
150522,622,Asian,"$25,000 - $34,999"
150523,623,Other,"Less than $15,000"
150524,624,Asian,"Less than $15,000"
150525,625,Hispanic,"$15,000 - $24,999"
150526,626,Other,"$50,000 - $74,999"
150527,627,Black,"$50,000 - $74,999"
150528,628,Pacific Islander,"$35,000 - $49,999"
150529,629,Native American,"$25,000 - $34,999"
150530,630,Hispanic,"$25,000 - $34,999"
150531,631,Black,Unemployed
150532,632,Hispanic,"$75,000 or greater"
150533,633,Native American,"$35,000 - $49,999"
150534,634,Native American,"Less than $15,000"
150535,635,Asian,Unemployed
150536,636,Black,"$35,000 - $49,999"
150537,637,Asian,"$25,000 - $34,999"
150538,638,Asian,Unemployed
150539,639,White,"$25,000 - $34,999"
150540,640,Asian,"$50,000 - $74,999"
150541,641,Other,"$50,000 - $74,999"
150542,642,Pacific Islander,"$35,000 - $49,999"
150543,643,Asian,"$15,000 - $24,999"
150544,644,Pacific Islander,"$75,000 or greater"
150545,645,Pacific Islander,"$75,000 or greater"
150546,646,White,"Less than $15,000"
150547,647,Native American,"$50,000 - $74,999"
150548,648,Other,"$15,000 - $24,999"
150549,649,Hispanic,"$75,000 or greater"
150550,650,Other,"$15,000 - $24,999"
150551,651,Asian,"Less than $15,000"
150552,652,White,"$75,000 or greater"
150553,653,Pacific Islander,"$35,000 - $49,999"
150554,654,Hispanic,"$50,000 - $74,999"
150555,655,Hispanic,"Less than $15,000"
150556,656,Black,"$35,000 - $49,999"
150557,657,Black,"Less than $15,000"
150558,658,Black,"$35,000 - $49,999"
150559,659,Other,"$25,000 - $34,999"
150560,660,Pacific Islander,"$35,000 - $49,999"
150561,661,Black,"$35,000 - $49,999"
150562,662,Native American,"$50,000 - $74,999"
150563,663,White,"$75,000 or greater"
150564,664,White,"Less than $15,000"
150565,665,Native American,"$75,000 or greater"
150566,666,Other,"$15,000 - $24,999"
150567,667,Other,"$15,000 - $24,999"
150568,668,White,"$50,000 - $74,999"
150569,669,Other,"Less than $15,000"
150570,670,Hispanic,"$15,000 - $24,999"
150571,671,Hispanic,"$35,000 - $49,999"
150572,672,Hispanic,"$15,000 - $24,999"
150573,673,Asian,"$75,000 or greater"
150574,674,Other,"$50,000 - $74,999"
150575,675,White,Unemployed
150576,676,Black,"$35,000 - $49,999"
150577,677,Black,"$15,000 - $24,999"
150578,678,Native American,"Less than $15,000"
150579,679,Black,"Less than $15,000"
150580,680,Pacific Islander,"$25,000 - $34,999"
150581,681,Hispanic,"$35,000 - $49,999"
150582,682,Pacific Islander,"Less than $15,000"
150583,683,Pacific Islander,"$50,000 - $74,999"
150584,684,Hispanic,"$35,000 - $49,999"
150585,685,Asian,"$35,000 - $49,999"
150586,686,Other,"$50,000 - $74,999"
150587,687,Pacific Islander,"$75,000 or greater"
150588,688,Asian,"$35,000 - $49,999"
150589,689,Pacific Islander,"$50,000 - $74,999"
150590,690,Hispanic,"$15,000 - $24,999"
150591,691,Asian,"$50,000 - $74,999"
150592,692,Other,Unemployed
150593,693,Black,"$50,000 - $74,999"
150594,694,Native American,"$50,000 - $74,999"
150595,695,White,"$75,000 or greater"
150596,696,White,"$75,000 or greater"
150597,697,Black,"$50,000 - $74,999"
150598,698,Pacific Islander,"$35,000 - $49,999"
150599,699,Pacific Islander,"$50,000 - $74,999"
150600,700,White,"Less than $15,000"
150601,701,Other,"Less than $15,000"
150602,702,White,"$35,000 - $49,999"
150603,703,Other,"$15,000 - $24,999"
150604,704,White,"$35,000 - $49,999"
150605,705,Other,"$35,000 - $49,999"
150606,706,Hispanic,"$15,000 - $24,999"
150607,707,Asian,"$75,000 or greater"
150608,708,Asian,"$50,000 - $74,999"
150609,709,Hispanic,"$15,000 - $24,999"
150610,710,Black,"$50,000 - $74,999"
150611,711,Native American,"Less than $15,000"
150612,712,Pacific Islander,"$25,000 - $34,999"
150613,713,Pacific Islander,"Less than $15,000"
150614,714,Black,"$35,000 - $49,999"
150615,715,Black,"$50,000 - $74,999"
150616,716,Pacific Islander,"$35,000 - $49,999"
150617,717,Native American,"$75,000 or greater"
150618,718,Other,"$50,000 - $74,999"
150619,719,Hispanic,"$25,000 - $34,999"
150620,720,Hispanic,"$35,000 - $49,999"
150621,721,Hispanic,"$75,000 or greater"
150622,722,Other,"$75,000 or greater"
150623,723,Asian,"$35,000 - $49,999"
150624,724,Hispanic,"$15,000 - $24,999"
150625,725,Pacific Islander,Unemployed
150626,726,Native American,"Less than $15,000"
150627,727,Other,"$15,000 - $24,999"
150628,728,Pacific Islander,"$25,000 - $34,999"
150629,729,Other,"$35,000 - $49,999"
150630,730,Native American,"$25,000 - $34,999"
150631,731,Pacific Islander,"$75,000 or greater"
150632,732,Asian,"$50,000 - $74,999"
150633,733,Hispanic,Unemployed
150634,734,White,"$35,000 - $49,999"
150635,735,Black,"$50,000 - $74,999"
150636,736,Black,"Less than $15,000"
150637,737,Black,"Less than $15,000"
150638,738,Pacific Islander,"$50,000 - $74,999"
150639,739,Asian,Unemployed
150640,740,Asian,"Less than $15,000"
150641,741,Black,"$25,000 - $34,999"
150642,742,Native American,"$25,000 - $34,999"
150643,743,White,"Less than $15,000"
150644,744,Asian,"$75,000 or greater"
150645,745,Asian,Unemployed
150646,746,White,Unemployed
150647,747,Native American,"Less than $15,000"
150648,748,White,"$50,000 - $74,999"
150649,749,Other,"$15,000 - $24,999"
150650,750,Hispanic,"$75,000 or greater"
150651,751,White,"$50,000 - $74,999"
150652,752,Asian,"$75,000 or greater"
150653,753,Pacific Islander,"$50,000 - $74,999"
150654,754,Other,Unemployed
150655,755,White,"$35,000 - $49,999"
150656,756,Hispanic,Unemployed
150657,757,Native American,"$35,000 - $49,999"
150658,758,Other,"$25,000 - $34,999"
150659,759,Hispanic,"$50,000 - $74,999"
150660,760,Black,"$35,000 - $49,999"
150661,761,Native American,"$35,000 - $49,999"
150662,762,Other,"$50,000 - $74,999"
150663,763,White,"$35,000 - $49,999"
150664,764,Black,"$50,000 - $74,999"
150665,765,Hispanic,"$35,000 - $49,999"
150666,766,Other,"Less than $15,000"
150667,767,Pacific Islander,"$35,000 - $49,999"
150668,768,Asian,"$35,000 - $49,999"
150669,769,Pacific Islander,"$35,000 - $49,999"
150670,770,Black,Unemployed
150671,771,Native American,"Less than $15,000"
150672,772,White,"Less than $15,000"
150673,773,Black,"$50,000 - $74,999"
150674,774,Hispanic,"$75,000 or greater"
